Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,2.9685497283935547
Hint,1,10240,1.168966293334961
Hint,1,10240,1.2619495391845703
Hint,1,10240,1.1644363403320312
Hint,1,10240,1.1570453643798828
Hint,1,10240,1.1897087097167969
Hint,1,10240,1.195669174194336
Hint,1,10240,1.216888427734375
Hint,1,10240,23.770809173583984
Hint,1,10240,2.963542938232422
Hint,1,10240,1.3766288757324219
Handover,2,10240,2.546548843383789
Hint,1,10240,3.0603408813476562
Hint,1,10240,1.348733901977539
Hint,1,10240,1.2850761413574219
Hint,1,10240,1.1365413665771484
Hint,1,10240,1.1866092681884766
Hint,1,10240,1.2047290802001953
Hint,1,10240,1.1873245239257812
Hint,1,10240,1.1570453643798828
Hint,1,10240,23.180007934570312
Hint,1,10240,1.1632442474365234
Hint,1,10240,1.1293888092041016
Handover,2,10240,2.5997161865234375
Hint,1,10240,3.1447410583496094
Hint,1,10240,4.845142364501953
Hint,1,10240,1.3823509216308594
Hint,1,10240,1.2004375457763672
Hint,1,10240,1.1763572692871094
Hint,1,10240,1.149892807006836
Hint,1,10240,1.1377334594726562
Hint,1,10240,1.0981559753417969
Hint,1,10240,24.29819107055664
Hint,1,10240,1.004934310913086
Hint,1,10240,1.1005401611328125
Handover,2,10240,2.531290054321289
Hint,1,10240,3.0362606048583984
Hint,1,10240,4.227399826049805
Hint,1,10240,1.3260841369628906
Hint,1,10240,1.1708736419677734
Hint,1,10240,1.1882781982421875
Hint,1,10240,1.0933876037597656
Hint,1,10240,1.0442733764648438
Hint,1,10240,1.054525375366211
Hint,1,10240,24.79720115661621
Hint,1,10240,1.1188983917236328
Hint,1,10240,1.0480880737304688
Handover,2,10240,2.656221389770508
Hint,1,10240,2.9265880584716797
Hint,1,10240,1.4011859893798828
Hint,1,10240,1.3191699981689453
Hint,1,10240,1.1603832244873047
Hint,1,10240,1.209259033203125
Hint,1,10240,1.4553070068359375
Hint,1,10240,1.2226104736328125
Hint,1,10240,1.2049674987792969
Hint,1,10240,23.97441864013672
Hint,1,10240,1.4202594757080078
Hint,1,10240,1.0938644409179688
Handover,2,10240,2.5420188903808594
Hint,1,10240,3.020763397216797
Hint,1,10240,1.2116432189941406
Hint,1,10240,1.2750625610351562
Hint,1,10240,1.1756420135498047
Hint,1,10240,1.1794567108154297
Hint,1,10240,1.30462646484375
Hint,1,10240,5.000829696655273
Hint,1,10240,1.1429786682128906
Hint,1,10240,24.233341217041016
Hint,1,10240,1.2726783752441406
Hint,1,10240,1.361846923828125
Handover,2,10240,2.5560855865478516
Hint,1,10240,3.07464599609375
Hint,1,10240,1.3692378997802734
Hint,1,10240,1.2869834899902344
Hint,1,10240,4.686117172241211
Hint,1,10240,1.219034194946289
Hint,1,10240,1.2602806091308594
Hint,1,10240,1.2350082397460938
Hint,1,10240,1.3270378112792969
Hint,1,10240,24.2311954498291
Hint,1,10240,1.3115406036376953
Hint,1,10240,1.070261001586914
Handover,2,10240,2.843618392944336
Hint,1,10240,3.0028820037841797
Hint,1,10240,1.3704299926757812
Hint,1,10240,1.2869834899902344
Hint,1,10240,1.1470317840576172
Hint,1,10240,1.1212825775146484
Hint,1,10240,1.220703125
Hint,1,10240,1.1756420135498047
Hint,1,10240,1.1479854583740234
Hint,1,10240,23.024559020996094
Hint,1,10240,1.0569095611572266
Hint,1,10240,1.0709762573242188
Handover,2,10240,2.767324447631836
Hint,1,10240,2.9981136322021484
Hint,1,10240,1.3151168823242188
Hint,1,10240,1.394033432006836
Hint,1,10240,1.1796951293945312
Hint,1,10240,1.1408329010009766
Hint,1,10240,1.2850761413574219
Hint,1,10240,4.894495010375977
Hint,1,10240,1.1289119720458984
Hint,1,10240,24.32870864868164
Hint,1,10240,1.0166168212890625
Hint,1,10240,1.0018348693847656
Handover,2,10240,2.586841583251953
Hint,1,10240,3.163576126098633
Hint,1,10240,1.407623291015625
Hint,1,10240,1.3127326965332031
Hint,1,10240,1.2562274932861328
Hint,1,10240,1.1899471282958984
Hint,1,10240,1.0974407196044922
Hint,1,10240,1.0595321655273438
Hint,1,10240,1.0721683502197266
Hint,1,10240,25.15554428100586
Hint,1,10240,1.142740249633789
Hint,1,10240,0.9913444519042969
Handover,2,10240,2.697467803955078
