Event_Type,Counter,Response_Time
Normal,1,34.22403335571289
Normal,2,31.912565231323242
Normal,3,32.06825256347656
Normal,4,33.152103424072266
Normal,5,31.681060791015625
Normal,6,32.164812088012695
Normal,7,31.86941146850586
Normal,8,31.413793563842773
Normal,9,30.77530860900879
Normal,1,35.90726852416992
Normal,2,31.63743019104004
Normal,3,32.92036056518555
Normal,4,31.87251091003418
Normal,5,32.68241882324219
Normal,6,31.766176223754883
Normal,7,32.15456008911133
Normal,8,28.47766876220703
Normal,9,33.006906509399414
Normal,1,36.986589431762695
Normal,2,29.982566833496094
Normal,3,31.812667846679688
Normal,4,31.812191009521484
Normal,5,31.528472900390625
Normal,6,31.98719024658203
Normal,7,35.392045974731445
Normal,8,31.647682189941406
Normal,9,35.34722328186035
Normal,1,36.01670265197754
Normal,2,31.67438507080078
Normal,3,31.08501434326172
Normal,4,31.489133834838867
Normal,5,30.50088882446289
Normal,6,32.01127052307129
Normal,7,32.1195125579834
Normal,8,35.906314849853516
Normal,9,35.5377197265625
Normal,1,41.297197341918945
Normal,2,33.27298164367676
Normal,3,32.39250183105469
Normal,4,28.729915618896484
Normal,5,32.01150894165039
Normal,6,32.72128105163574
Normal,7,32.707929611206055
Normal,8,36.013126373291016
Normal,9,35.74204444885254
Normal,1,35.53152084350586
Normal,2,31.505346298217773
Normal,3,36.882638931274414
Normal,4,33.769845962524414
Normal,5,30.954360961914062
Normal,6,36.997079849243164
Normal,7,34.61456298828125
Normal,8,31.032323837280273
Normal,9,30.606985092163086
Normal,1,35.694122314453125
Normal,2,31.91542625427246
Normal,3,31.595706939697266
Normal,4,30.71904182434082
Normal,5,30.28082847595215
Normal,6,33.608436584472656
Normal,7,37.06097602844238
Normal,8,34.75189208984375
Normal,9,35.02392768859863
Normal,1,34.72256660461426
Normal,2,34.56401824951172
Normal,3,36.89217567443848
Normal,4,33.678531646728516
Normal,5,35.36486625671387
Normal,6,35.320281982421875
Normal,7,36.03792190551758
Normal,8,31.744718551635742
Normal,9,35.16054153442383
Normal,1,33.9665412902832
Normal,2,32.598257064819336
Normal,3,31.95977210998535
Normal,4,31.160593032836914
Normal,5,29.946327209472656
Normal,6,33.56122970581055
Normal,7,30.840635299682617
Normal,8,35.463809967041016
Normal,9,31.603574752807617
Normal,1,33.846139907836914
Normal,2,32.38177299499512
Normal,3,33.48493576049805
Normal,4,30.68852424621582
Normal,5,31.33249282836914
Normal,6,35.4609489440918
Normal,7,31.143665313720703
Normal,8,30.690908432006836
Normal,9,32.00030326843262
