Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,3.0159950256347656
Hint,1,10240,1.581430435180664
Hint,1,10240,1.4557838439941406
Hint,1,10240,1.264810562133789
Hint,1,10240,1.3968944549560547
Hint,1,10240,0.9977817535400391
Hint,1,10240,1.065969467163086
Hint,1,10240,1.001119613647461
Hint,1,10240,17.406225204467773
Hint,1,10240,1.2123584747314453
Hint,1,10240,1.390218734741211
Handover,2,10240,2.970457077026367
Hint,1,10240,2.542734146118164
Hint,1,10240,1.5435218811035156
Hint,1,10240,1.5723705291748047
Hint,1,10240,1.4336109161376953
Hint,1,10240,1.4400482177734375
Hint,1,10240,1.4157295227050781
Hint,1,10240,1.2776851654052734
Hint,1,10240,1.1992454528808594
Hint,1,10240,17.54903793334961
Hint,1,10240,1.4729499816894531
Hint,1,10240,1.3628005981445312
Handover,2,10240,2.2852420806884766
Hint,1,10240,2.509593963623047
Hint,1,10240,1.6317367553710938
Hint,1,10240,1.4367103576660156
Hint,1,10240,1.3759136199951172
Hint,1,10240,1.4853477478027344
Hint,1,10240,1.4495849609375
Hint,1,10240,1.41143798828125
Hint,1,10240,1.455545425415039
Hint,1,10240,17.924785614013672
Hint,1,10240,1.4519691467285156
Hint,1,10240,1.3816356658935547
Handover,2,10240,2.2535324096679688
Hint,1,10240,2.4957656860351562
Hint,1,10240,1.7783641815185547
Hint,1,10240,1.4295578002929688
Hint,1,10240,1.4243125915527344
Hint,1,10240,1.630544662475586
Hint,1,10240,1.4536380767822266
Hint,1,10240,1.3391971588134766
Hint,1,10240,1.476287841796875
Hint,1,10240,18.125057220458984
Hint,1,10240,1.4600753784179688
Hint,1,10240,1.3761520385742188
Handover,2,10240,2.2215843200683594
Hint,1,10240,2.397775650024414
Hint,1,10240,1.665353775024414
Hint,1,10240,1.5916824340820312
Hint,1,10240,1.44195556640625
Hint,1,10240,1.4820098876953125
Hint,1,10240,1.4443397521972656
Hint,1,10240,1.499176025390625
Hint,1,10240,1.3670921325683594
Hint,1,10240,18.152713775634766
Hint,1,10240,1.4905929565429688
Hint,1,10240,1.4736652374267578
Handover,2,10240,1.9860267639160156
Hint,1,10240,2.455472946166992
Hint,1,10240,1.6314983367919922
Hint,1,10240,1.4367103576660156
Hint,1,10240,1.4073848724365234
Hint,1,10240,1.3773441314697266
Hint,1,10240,1.4312267303466797
Hint,1,10240,1.407623291015625
Hint,1,10240,1.5151500701904297
Hint,1,10240,18.1427001953125
Hint,1,10240,1.4717578887939453
Hint,1,10240,1.3446807861328125
Handover,2,10240,2.1076202392578125
Hint,1,10240,2.5959014892578125
Hint,1,10240,1.4154911041259766
Hint,1,10240,1.3670921325683594
Hint,1,10240,1.4376640319824219
Hint,1,10240,1.4832019805908203
Hint,1,10240,1.3718605041503906
Hint,1,10240,1.401662826538086
Hint,1,10240,1.2326240539550781
Hint,1,10240,17.96579360961914
Hint,1,10240,1.4252662658691406
Hint,1,10240,1.2788772583007812
Handover,2,10240,2.8030872344970703
Hint,1,10240,2.263784408569336
Hint,1,10240,1.4028549194335938
Hint,1,10240,1.4827251434326172
Hint,1,10240,1.5268325805664062
Hint,1,10240,1.4586448669433594
Hint,1,10240,1.4300346374511719
Hint,1,10240,1.4088153839111328
Hint,1,10240,1.4226436614990234
Hint,1,10240,18.16582679748535
Hint,1,10240,1.4171600341796875
Hint,1,10240,1.4390945434570312
Handover,2,10240,2.014636993408203
Hint,1,10240,2.535581588745117
Hint,1,10240,1.5249252319335938
Hint,1,10240,1.6467571258544922
Hint,1,10240,1.4333724975585938
Hint,1,10240,1.367330551147461
Hint,1,10240,1.2295246124267578
Hint,1,10240,1.15966796875
Hint,1,10240,1.277923583984375
Hint,1,10240,17.950773239135742
Hint,1,10240,1.4452934265136719
Hint,1,10240,1.3384819030761719
Handover,2,10240,2.0241737365722656
Hint,1,10240,2.5048255920410156
Hint,1,10240,1.5025138854980469
Hint,1,10240,1.5950202941894531
Hint,1,10240,1.4128684997558594
Hint,1,10240,1.5249252319335938
Hint,1,10240,1.4801025390625
Hint,1,10240,1.2733936309814453
Hint,1,10240,1.4126300811767578
Hint,1,10240,18.074989318847656
Hint,1,10240,1.4612674713134766
Hint,1,10240,1.2638568878173828
Handover,2,10240,2.0475387573242188
