Event_Type,Counter,Response_Time
Normal,1,35.21013259887695
Normal,2,30.43055534362793
Normal,3,30.251026153564453
Normal,4,31.000137329101562
Normal,5,32.004356384277344
Normal,6,33.239126205444336
Normal,7,31.678438186645508
Normal,8,32.57465362548828
Normal,9,31.827688217163086
Normal,1,35.58349609375
Normal,2,33.42247009277344
Normal,3,31.827926635742188
Normal,4,32.18865394592285
Normal,5,32.038211822509766
Normal,6,31.94880485534668
Normal,7,34.96241569519043
Normal,8,32.01556205749512
Normal,9,38.19394111633301
Normal,1,35.986900329589844
Normal,2,34.95430946350098
Normal,3,34.94429588317871
Normal,4,31.08978271484375
Normal,5,30.36046028137207
Normal,6,31.73685073852539
Normal,7,31.803369522094727
Normal,8,33.49590301513672
Normal,9,33.730268478393555
Normal,1,35.69459915161133
Normal,2,32.67025947570801
Normal,3,31.68487548828125
Normal,4,35.672903060913086
Normal,5,30.350446701049805
Normal,6,35.260677337646484
Normal,7,31.45146369934082
Normal,8,34.70921516418457
Normal,9,37.58835792541504
Normal,1,34.601688385009766
Normal,2,33.8587760925293
Normal,3,32.379865646362305
Normal,4,30.385255813598633
Normal,5,35.22944450378418
Normal,6,31.842470169067383
Normal,7,35.749197006225586
Normal,8,35.58063507080078
Normal,9,36.525726318359375
Normal,1,39.71719741821289
Normal,2,32.799720764160156
Normal,3,31.078815460205078
Normal,4,34.224510192871094
Normal,5,35.466909408569336
Normal,6,30.698060989379883
Normal,7,29.902935028076172
Normal,8,30.118703842163086
Normal,9,30.007600784301758
Normal,1,34.34133529663086
Normal,2,33.77962112426758
Normal,3,30.65967559814453
Normal,4,31.494140625
Normal,5,31.343698501586914
Normal,6,33.66851806640625
Normal,7,34.088134765625
Normal,8,32.135725021362305
Normal,9,33.716678619384766
Normal,1,38.06328773498535
Normal,2,34.37232971191406
Normal,3,35.05086898803711
Normal,4,32.77254104614258
Normal,5,34.03449058532715
Normal,6,32.295942306518555
Normal,7,30.478239059448242
Normal,8,30.86709976196289
Normal,9,30.213117599487305
Normal,1,36.815643310546875
Normal,2,35.624027252197266
Normal,3,35.851478576660156
Normal,4,30.157804489135742
Normal,5,30.34353256225586
Normal,6,30.074119567871094
Normal,7,31.734704971313477
Normal,8,32.115936279296875
Normal,9,34.08956527709961
Normal,1,34.36684608459473
Normal,2,35.17794609069824
Normal,3,31.464576721191406
Normal,4,35.799503326416016
Normal,5,31.02731704711914
Normal,6,30.974149703979492
Normal,7,31.522274017333984
Normal,8,32.26208686828613
Normal,9,32.61709213256836
