Event_Type,Counter,Response_Time
Normal,1,35.802602767944336
Normal,2,32.55772590637207
Normal,3,31.808853149414062
Normal,4,32.86552429199219
Normal,5,31.524658203125
Normal,6,33.171892166137695
Normal,7,31.537294387817383
Normal,8,30.91740608215332
Normal,9,31.829118728637695
Normal,1,35.55035591125488
Normal,2,31.853914260864258
Normal,3,31.685590744018555
Normal,4,31.819581985473633
Normal,5,33.4467887878418
Normal,6,34.041404724121094
Normal,7,31.844139099121094
Normal,8,30.72214126586914
Normal,9,32.76324272155762
Normal,1,36.84544563293457
Normal,2,35.59565544128418
Normal,3,36.145925521850586
Normal,4,35.676002502441406
Normal,5,31.366825103759766
Normal,6,34.832000732421875
Normal,7,35.50434112548828
Normal,8,35.49337387084961
Normal,9,35.3395938873291
Normal,1,33.70523452758789
Normal,2,33.90145301818848
Normal,3,31.51249885559082
Normal,4,30.377864837646484
Normal,5,35.977840423583984
Normal,6,35.989999771118164
Normal,7,35.321712493896484
Normal,8,35.437822341918945
Normal,9,36.29016876220703
Normal,1,34.43145751953125
Normal,2,31.666040420532227
Normal,3,32.16266632080078
Normal,4,31.856775283813477
Normal,5,30.878067016601562
Normal,6,31.888246536254883
Normal,7,31.76569938659668
Normal,8,29.949426651000977
Normal,9,32.968759536743164
Normal,1,34.361839294433594
Normal,2,31.918764114379883
Normal,3,33.71095657348633
Normal,4,31.691312789916992
Normal,5,32.95087814331055
Normal,6,31.45623207092285
Normal,7,32.98139572143555
Normal,8,31.78095817565918
Normal,9,30.950307846069336
Normal,1,35.573720932006836
Normal,2,31.886577606201172
Normal,3,30.347108840942383
Normal,4,30.692577362060547
Normal,5,31.39638900756836
Normal,6,31.9366455078125
Normal,7,33.11443328857422
Normal,8,31.829833984375
Normal,9,30.75242042541504
Normal,1,34.37209129333496
Normal,2,29.85978126525879
Normal,3,30.85613250732422
Normal,4,31.937837600708008
Normal,5,31.30340576171875
Normal,6,26.507854461669922
Normal,7,31.04710578918457
Normal,8,30.452251434326172
Normal,9,30.294418334960938
Normal,1,34.83152389526367
Normal,2,34.943342208862305
Normal,3,31.07309341430664
Normal,4,35.569190979003906
Normal,5,31.69536590576172
Normal,6,31.4023494720459
Normal,7,31.848430633544922
Normal,8,31.9366455078125
Normal,9,31.108617782592773
Normal,1,33.89883041381836
Normal,2,33.16521644592285
Normal,3,31.550884246826172
Normal,4,32.082319259643555
Normal,5,32.410621643066406
Normal,6,30.96628189086914
Normal,7,31.848669052124023
Normal,8,31.91399574279785
Normal,9,30.775785446166992
