Event_Type,Counter,Response_Time
Normal,1,28.261184692382812
Normal,2,26.4589786529541
Normal,3,26.60226821899414
Normal,4,28.667449951171875
Normal,5,27.37116813659668
Normal,6,27.21881866455078
Normal,7,26.857376098632812
Normal,8,27.34827995300293
Normal,9,28.43189239501953
Normal,1,26.951074600219727
Normal,2,26.04222297668457
Normal,3,26.913881301879883
Normal,4,26.789188385009766
Normal,5,26.49688720703125
Normal,6,27.80747413635254
Normal,7,27.103424072265625
Normal,8,29.30140495300293
Normal,9,30.129194259643555
Normal,1,27.08721160888672
Normal,2,26.780366897583008
Normal,3,26.53360366821289
Normal,4,26.680946350097656
Normal,5,27.253389358520508
Normal,6,20.58696746826172
Normal,7,21.339893341064453
Normal,8,27.07386016845703
Normal,9,30.987024307250977
Normal,1,26.37195587158203
Normal,2,27.219772338867188
Normal,3,27.121543884277344
Normal,4,26.522397994995117
Normal,5,27.0538330078125
Normal,6,27.0235538482666
Normal,7,26.847362518310547
Normal,8,30.072450637817383
Normal,9,29.839277267456055
Normal,1,27.02641487121582
Normal,2,26.881933212280273
Normal,3,27.02474594116211
Normal,4,23.821115493774414
Normal,5,27.4045467376709
Normal,6,27.180194854736328
Normal,7,27.820110321044922
Normal,8,29.30140495300293
Normal,9,29.07848358154297
Normal,1,28.06568145751953
Normal,2,27.08601951599121
Normal,3,21.462440490722656
Normal,4,26.822566986083984
Normal,5,26.866436004638672
Normal,6,31.467676162719727
Normal,7,29.499530792236328
Normal,8,30.0295352935791
Normal,9,30.905485153198242
Normal,1,27.617931365966797
Normal,2,27.689695358276367
Normal,3,35.692453384399414
Normal,4,28.725862503051758
Normal,5,27.210474014282227
Normal,6,28.990745544433594
Normal,7,28.751850128173828
Normal,8,27.629613876342773
Normal,9,34.35158729553223
Normal,1,27.195215225219727
Normal,2,25.629043579101562
Normal,3,26.69048309326172
Normal,4,28.470277786254883
Normal,5,27.78339385986328
Normal,6,25.206565856933594
Normal,7,27.70233154296875
Normal,8,29.383182525634766
Normal,9,30.42745590209961
Normal,1,30.739307403564453
Normal,2,30.34377098083496
Normal,3,30.64894676208496
Normal,4,30.862808227539062
Normal,5,30.976295471191406
Normal,6,27.95100212097168
Normal,7,27.920007705688477
Normal,8,27.563810348510742
Normal,9,28.71417999267578
Normal,1,28.391122817993164
Normal,2,26.43108367919922
Normal,3,25.9857177734375
Normal,4,26.400327682495117
Normal,5,27.380704879760742
Normal,6,26.92866325378418
Normal,7,31.427860260009766
Normal,8,26.96371078491211
Normal,9,29.25562858581543
