Event_Type,Counter,Response_Time
Normal,1,25.661706924438477
Normal,2,26.951313018798828
Normal,3,21.714448928833008
Normal,4,23.10943603515625
Normal,5,23.275375366210938
Normal,6,23.876667022705078
Normal,7,24.277925491333008
Normal,8,23.453235626220703
Normal,9,23.607254028320312
Normal,1,26.668310165405273
Normal,2,23.849964141845703
Normal,3,21.24309539794922
Normal,4,21.688222885131836
Normal,5,21.985530853271484
Normal,6,22.59373664855957
Normal,7,21.175146102905273
Normal,8,23.563146591186523
Normal,9,25.612592697143555
Normal,1,25.656461715698242
Normal,2,25.366544723510742
Normal,3,22.269248962402344
Normal,4,22.053003311157227
Normal,5,21.898746490478516
Normal,6,20.535945892333984
Normal,7,22.11928367614746
Normal,8,19.96588706970215
Normal,9,25.624513626098633
Normal,1,26.243925094604492
Normal,2,28.41663360595703
Normal,3,21.465539932250977
Normal,4,22.466182708740234
Normal,5,22.381067276000977
Normal,6,21.740436553955078
Normal,7,21.335363388061523
Normal,8,23.154735565185547
Normal,9,24.602174758911133
Normal,1,24.64914321899414
Normal,2,23.223876953125
Normal,3,21.6214656829834
Normal,4,18.987417221069336
Normal,5,23.001432418823242
Normal,6,19.323348999023438
Normal,7,26.159048080444336
Normal,8,24.684429168701172
Normal,9,25.844335556030273
Normal,1,23.96392822265625
Normal,2,21.847963333129883
Normal,3,22.548437118530273
Normal,4,21.179676055908203
Normal,5,23.28658103942871
Normal,6,25.731325149536133
Normal,7,20.177125930786133
Normal,8,21.877288818359375
Normal,9,21.304607391357422
Normal,1,23.820161819458008
Normal,2,23.027420043945312
Normal,3,21.389484405517578
Normal,4,22.68242835998535
Normal,5,22.8884220123291
Normal,6,21.831274032592773
Normal,7,23.1781005859375
Normal,8,25.044679641723633
Normal,9,21.436452865600586
Normal,1,23.034334182739258
Normal,2,22.266626358032227
Normal,3,21.99530601501465
Normal,4,22.924423217773438
Normal,5,21.525144577026367
Normal,6,23.943185806274414
Normal,7,26.128530502319336
Normal,8,21.19612693786621
Normal,9,22.40610122680664
Normal,1,23.057937622070312
Normal,2,25.67434310913086
Normal,3,24.29986000061035
Normal,4,16.121625900268555
Normal,5,21.460294723510742
Normal,6,21.453380584716797
Normal,7,22.082805633544922
Normal,8,21.536588668823242
Normal,9,21.56352996826172
Normal,1,22.843122482299805
Normal,2,21.65699005126953
Normal,3,21.378278732299805
Normal,4,22.294044494628906
Normal,5,21.401643753051758
Normal,6,24.25217628479004
Normal,7,22.123336791992188
Normal,8,20.833969116210938
Normal,9,22.152423858642578
