Event_Type,Counter,Response_Time
Normal,1,29.201507568359375
Normal,2,26.659250259399414
Normal,3,26.502370834350586
Normal,4,26.372432708740234
Normal,5,22.984981536865234
Normal,6,26.268959045410156
Normal,7,26.879310607910156
Normal,8,28.86962890625
Normal,9,22.333145141601562
Normal,1,26.31831169128418
Normal,2,25.745630264282227
Normal,3,25.835275650024414
Normal,4,26.706218719482422
Normal,5,27.060747146606445
Normal,6,28.029918670654297
Normal,7,27.533769607543945
Normal,8,26.46613121032715
Normal,9,27.27055549621582
Normal,1,27.38642692565918
Normal,2,28.06854248046875
Normal,3,27.8778076171875
Normal,4,26.093006134033203
Normal,5,26.877403259277344
Normal,6,30.745983123779297
Normal,7,28.883695602416992
Normal,8,30.518293380737305
Normal,9,30.202150344848633
Normal,1,26.9320011138916
Normal,2,26.29566192626953
Normal,3,25.678396224975586
Normal,4,26.395082473754883
Normal,5,27.615785598754883
Normal,6,27.451753616333008
Normal,7,26.601076126098633
Normal,8,28.382062911987305
Normal,9,29.970884323120117
Normal,1,30.362367630004883
Normal,2,29.599428176879883
Normal,3,29.922962188720703
Normal,4,28.236865997314453
Normal,5,26.590824127197266
Normal,6,21.73590660095215
Normal,7,27.408361434936523
Normal,8,27.799129486083984
Normal,9,26.85713768005371
Normal,1,27.711153030395508
Normal,2,21.309614181518555
Normal,3,26.862382888793945
Normal,4,27.20952033996582
Normal,5,26.854991912841797
Normal,6,28.728246688842773
Normal,7,29.46949005126953
Normal,8,27.57573127746582
Normal,9,24.731159210205078
Normal,1,28.200864791870117
Normal,2,29.279708862304688
Normal,3,29.933929443359375
Normal,4,29.841899871826172
Normal,5,26.856422424316406
Normal,6,26.149988174438477
Normal,7,26.902198791503906
Normal,8,26.451826095581055
Normal,9,27.872323989868164
Normal,1,30.637741088867188
Normal,2,31.995534896850586
Normal,3,28.094768524169922
Normal,4,29.28304672241211
Normal,5,26.78227424621582
Normal,6,26.784181594848633
Normal,7,28.18608283996582
Normal,8,28.740406036376953
Normal,9,28.676748275756836
Normal,1,27.262449264526367
Normal,2,26.57341957092285
Normal,3,31.091690063476562
Normal,4,30.543804168701172
Normal,5,31.1281681060791
Normal,6,29.778242111206055
Normal,7,30.574798583984375
Normal,8,26.885509490966797
Normal,9,26.49211883544922
Normal,1,30.623674392700195
Normal,2,31.058549880981445
Normal,3,27.553558349609375
Normal,4,26.53956413269043
Normal,5,27.15468406677246
Normal,6,27.500629425048828
Normal,7,26.952028274536133
Normal,8,28.45001220703125
Normal,9,27.532100677490234
