Event_Type,Counter,Response_Time
Normal,1,4.645347595214844
Normal,2,3.692626953125
Normal,3,3.662586212158203
Normal,4,3.679990768432617
Normal,5,3.68499755859375
Normal,6,3.5924911499023438
Normal,7,3.787994384765625
Normal,8,3.7708282470703125
Normal,9,3.707408905029297
Normal,10,7.293939590454102
Normal,11,3.6962032318115234
Normal,12,3.8280487060546875
Normal,13,3.711700439453125
Normal,14,3.699779510498047
Normal,15,3.6525726318359375
Normal,16,3.735065460205078
Normal,17,3.721952438354492
Normal,18,3.6339759826660156
Normal,19,3.645181655883789
Normal,20,3.538370132446289
Normal,21,3.6668777465820312
Normal,22,3.7009716033935547
Normal,23,3.863811492919922
Normal,24,3.663301467895508
Normal,25,3.699779510498047
Normal,26,3.782510757446289
Normal,27,3.635883331298828
Normal,28,3.6575794219970703
Normal,29,3.694772720336914
Normal,30,3.7698745727539062
Normal,31,3.660917282104492
Normal,32,3.6978721618652344
Normal,33,3.6590099334716797
Normal,34,3.7000179290771484
Normal,35,3.763914108276367
Normal,36,3.861665725708008
Normal,37,3.614664077758789
Normal,38,3.698110580444336
Normal,39,3.701925277709961
Normal,40,3.654956817626953
Normal,41,3.8042068481445312
Normal,42,3.6323070526123047
Normal,43,3.961801528930664
Normal,44,3.656148910522461
Normal,45,3.703594207763672
Normal,46,3.666400909423828
Normal,47,3.838062286376953
Normal,48,3.8499832153320312
Normal,49,3.711223602294922
Normal,50,3.7212371826171875
Normal,51,3.7622451782226562
Normal,52,3.7157535552978516
Normal,53,3.6895275115966797
Normal,54,3.7238597869873047
Normal,55,3.8137435913085938
Normal,56,3.800630569458008
Normal,57,3.711223602294922
Normal,58,3.787994384765625
Normal,59,3.803730010986328
Normal,60,3.7822723388671875
Normal,61,3.797292709350586
Normal,62,3.7174224853515625
Normal,63,3.7145614624023438
Normal,64,3.6857128143310547
Normal,65,3.6535263061523438
Normal,66,3.633737564086914
Normal,67,3.598928451538086
Normal,68,3.6132335662841797
Normal,69,6.091833114624023
Normal,70,3.787517547607422
Normal,71,3.7848949432373047
Normal,72,3.696441650390625
Normal,73,3.813028335571289
Normal,74,3.814220428466797
Normal,75,3.793001174926758
Normal,76,3.475666046142578
Normal,77,3.6306381225585938
Normal,78,3.737926483154297
Normal,79,6.315708160400391
Normal,80,3.751516342163086
Normal,81,3.7407875061035156
Normal,82,3.7970542907714844
Normal,83,3.668546676635742
Normal,84,3.7152767181396484
Normal,85,3.6792755126953125
Normal,86,3.7603378295898438
Normal,87,3.6728382110595703
Normal,88,3.6423206329345703
Normal,89,3.8595199584960938
Normal,90,3.7734508514404297
Normal,91,3.7660598754882812
Normal,92,3.658294677734375
Normal,93,3.571748733520508
Normal,94,3.719329833984375
Normal,95,4.122257232666016
Normal,96,3.715991973876953
Normal,97,3.6611557006835938
Normal,98,3.7000179290771484
Normal,99,3.6821365356445312
Normal,100,3.773927688598633
Normal,101,3.6432743072509766
Normal,102,3.7026405334472656
Normal,103,3.7817955017089844
Normal,104,3.8068294525146484
Normal,105,3.7119388580322266
Normal,106,3.8645267486572266
Normal,107,3.6542415618896484
Normal,108,3.6907196044921875
Normal,109,3.7016868591308594
Normal,110,3.662109375
Normal,111,3.6101341247558594
Normal,112,3.7419795989990234
Normal,113,3.619670867919922
Normal,114,3.583669662475586
Normal,115,3.8139820098876953
Normal,116,3.6172866821289062
Normal,117,3.6363601684570312
Normal,118,3.5822391510009766
Normal,119,3.6177635192871094
Normal,120,3.693819046020508
Normal,121,3.6292076110839844
Normal,122,3.748178482055664
Normal,123,3.724813461303711
Normal,124,3.904581069946289
Normal,125,3.617525100708008
Normal,126,3.641366958618164
Normal,127,3.9739608764648438
Normal,128,3.606557846069336
Normal,129,3.6668777465820312
Normal,130,3.7245750427246094
Normal,131,3.7610530853271484
Normal,132,3.44085693359375
Normal,133,3.645658493041992
Normal,134,3.6089420318603516
Normal,135,3.6067962646484375
Normal,136,3.3142566680908203
Normal,137,3.5300254821777344
Normal,138,3.7474632263183594
Normal,139,3.6170482635498047
Normal,140,3.5483837127685547
Normal,141,3.4995079040527344
Normal,142,3.687143325805664
Normal,143,3.688335418701172
Normal,144,3.5927295684814453
Normal,145,3.628969192504883
Normal,146,3.6346912384033203
Normal,147,3.6804676055908203
Normal,148,3.648519515991211
Normal,149,3.8797855377197266
Normal,150,3.6191940307617188
Normal,151,3.670215606689453
Normal,152,3.7953853607177734
Normal,153,3.863811492919922
Normal,154,3.679037094116211
Normal,155,3.719806671142578
Normal,156,3.6745071411132812
Normal,157,3.7865638732910156
Normal,158,5.442142486572266
Normal,159,4.494905471801758
Normal,160,4.637718200683594
Normal,161,9.840965270996094
Normal,162,3.8514137268066406
Normal,163,3.820657730102539
Normal,164,5.8460235595703125
Normal,165,3.802061080932617
Normal,166,3.680706024169922
Normal,167,3.831148147583008
Normal,168,4.019021987915039
Normal,169,7.276058197021484
Normal,170,4.254579544067383
Normal,171,3.612518310546875
Normal,172,3.7376880645751953
Normal,173,3.8101673126220703
Normal,174,3.6385059356689453
Normal,175,3.7047863006591797
Normal,176,3.7093162536621094
Normal,177,3.6935806274414062
Normal,178,3.8988590240478516
Normal,179,3.677845001220703
Normal,180,3.728628158569336
Normal,181,3.7457942962646484
Normal,182,3.622770309448242
Normal,183,3.60107421875
Normal,184,3.6139488220214844
Normal,185,3.7097930908203125
Normal,186,3.7202835083007812
Normal,187,3.724813461303711
Normal,188,3.7360191345214844
Normal,189,3.7403106689453125
Normal,190,3.6635398864746094
Normal,191,3.6928653717041016
Normal,192,3.558635711669922
Normal,193,3.6864280700683594
Normal,194,3.748655319213867
Normal,195,3.862142562866211
Normal,196,3.6954879760742188
Normal,197,3.72314453125
Normal,198,3.6618709564208984
Normal,199,3.611326217651367
Normal,200,3.6923885345458984
Normal,201,3.7696361541748047
Normal,202,3.695964813232422
Normal,203,3.629446029663086
Normal,204,3.772258758544922
Normal,205,3.622770309448242
Normal,206,3.7326812744140625
Normal,207,3.6962032318115234
Normal,208,3.698587417602539
Normal,209,3.659486770629883
Normal,210,3.701925277709961
Normal,211,3.8840770721435547
Normal,212,3.632783889770508
Normal,213,3.6187171936035156
Normal,214,3.7331581115722656
Normal,215,3.7109851837158203
Normal,216,3.630399703979492
Normal,217,3.8018226623535156
Normal,218,6.861686706542969
Normal,219,3.890514373779297
Normal,220,3.6864280700683594
Normal,221,3.727436065673828
Normal,222,3.760814666748047
Normal,223,3.7724971771240234
Normal,224,3.7059783935546875
Normal,225,7.372379302978516
Normal,226,3.7689208984375
Normal,227,3.7178993225097656
Normal,228,3.728628158569336
Normal,229,3.6542415618896484
Normal,230,3.662109375
Normal,231,3.6225318908691406
Normal,232,3.6818981170654297
Normal,233,3.626108169555664
Normal,234,3.719329833984375
Normal,235,3.8166046142578125
Normal,236,3.693819046020508
Normal,237,3.6878585815429688
Normal,238,7.193565368652344
Normal,239,3.644704818725586
Normal,240,3.713369369506836
Normal,241,3.6725997924804688
Normal,242,3.7271976470947266
Normal,243,3.6334991455078125
Normal,244,3.6966800689697266
Normal,245,3.6895275115966797
Normal,246,3.6351680755615234
Normal,247,3.617525100708008
Normal,248,3.519773483276367
Normal,249,3.831624984741211
Normal,250,3.6895275115966797
Normal,251,3.6787986755371094
Normal,252,3.6554336547851562
Normal,253,4.446983337402344
Normal,254,3.645181655883789
Normal,255,7.278203964233398
Normal,256,3.6499500274658203
Normal,257,3.567218780517578
Normal,258,3.6733150482177734
Normal,259,3.6983489990234375
Normal,260,3.4537315368652344
Normal,261,3.6160945892333984
Normal,262,3.5283565521240234
Normal,263,3.6776065826416016
Normal,264,3.651142120361328
Normal,265,3.6427974700927734
Normal,266,3.777027130126953
Normal,267,3.634929656982422
Normal,268,7.309675216674805
Normal,269,3.631591796875
Normal,270,3.7484169006347656
Normal,271,3.701448440551758
Normal,272,3.750324249267578
Normal,273,3.449678421020508
Normal,274,3.432035446166992
Normal,275,3.612995147705078
Normal,276,3.5445690155029297
Normal,277,3.8225650787353516
Normal,278,3.659963607788086
Normal,279,3.6916732788085938
Normal,280,3.720998764038086
Normal,281,3.7255287170410156
Normal,282,3.620147705078125
Normal,283,3.6878585815429688
Normal,284,3.7071704864501953
Normal,285,3.677845001220703
Normal,286,3.654956817626953
Normal,287,3.83758544921875
Normal,288,3.816843032836914
Normal,289,3.8406848907470703
Normal,290,3.6225318908691406
Normal,291,3.6346912384033203
Normal,292,3.7915706634521484
Normal,293,3.807544708251953
Normal,294,3.9718151092529297
Normal,295,4.153966903686523
Normal,296,3.3431053161621094
Normal,297,3.2384395599365234
Normal,298,3.032207489013672
Normal,299,3.882169723510742
Normal,300,3.268003463745117
Normal,301,3.329753875732422
Normal,302,3.262042999267578
Normal,303,3.4780502319335938
Normal,304,3.500699996948242
Normal,305,3.741741180419922
Normal,306,3.717660903930664
Normal,307,3.0982494354248047
Normal,308,3.031015396118164
Normal,309,2.98309326171875
Normal,310,3.1359195709228516
Normal,311,2.955913543701172
Normal,312,3.607034683227539
Normal,313,3.692626953125
Normal,314,3.8111209869384766
Normal,315,3.687620162963867
Normal,316,3.5772323608398438
Normal,317,3.600597381591797
Normal,318,3.6869049072265625
Normal,319,3.6878585815429688
Normal,320,7.438421249389648
Normal,321,3.6253929138183594
Normal,322,3.7069320678710938
Normal,323,3.7593841552734375
Normal,324,3.6771297454833984
Normal,325,3.5331249237060547
Normal,326,3.628253936767578
Normal,327,3.605365753173828
Normal,328,3.621816635131836
Normal,329,3.5355091094970703
Normal,330,3.4394264221191406
Normal,331,3.4279823303222656
Normal,332,3.594636917114258
Normal,333,3.6284923553466797
Normal,334,3.604412078857422
Normal,335,3.694772720336914
Normal,336,3.6935806274414062
Normal,337,3.607511520385742
Normal,338,3.614664077758789
Normal,339,3.9911270141601562
Normal,340,3.604412078857422
Normal,341,3.673553466796875
Normal,342,3.5719871520996094
Normal,343,3.607034683227539
Normal,344,3.9467811584472656
Normal,345,3.6864280700683594
Normal,346,3.6513805389404297
Normal,347,3.5545825958251953
Normal,348,3.629446029663086
