Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,5.802154541015625
Handover,10,10240,78.89509201049805
Hint,1,10240,5.756139755249023
Handover,10,10240,74.74184036254883
Hint,1,10240,5.185604095458984
Handover,10,10240,74.02682304382324
Hint,1,10240,5.861043930053711
Handover,10,10240,73.87185096740723
Hint,1,10240,6.06083869934082
Handover,10,10240,72.30138778686523
Hint,1,10240,5.431890487670898
Handover,10,10240,78.0649185180664
Hint,1,10240,5.785465240478516
Handover,10,10240,79.02908325195312
Hint,1,10240,5.7582855224609375
Handover,10,10240,76.26008987426758
Hint,1,10240,5.863189697265625
Handover,10,10240,74.20635223388672
Hint,1,10240,5.767822265625
Handover,10,10240,75.71697235107422
Hint,1,10240,5.810022354125977
Handover,10,10240,76.22909545898438
Hint,1,10240,5.715370178222656
Handover,10,10240,71.61617279052734
Hint,1,10240,5.9108734130859375
Handover,10,10240,74.90873336791992
Hint,1,10240,5.825996398925781
Handover,10,10240,73.14825057983398
Hint,1,10240,5.53584098815918
Handover,10,10240,74.84245300292969
Hint,1,10240,5.389213562011719
Handover,10,10240,75.18720626831055
Hint,1,10240,5.738019943237305
Handover,10,10240,76.05171203613281
Hint,1,10240,5.990028381347656
Handover,10,10240,70.80316543579102
Hint,1,10240,6.2618255615234375
Handover,10,10240,76.39122009277344
Hint,1,10240,5.815982818603516
Handover,10,10240,74.37944412231445
Hint,1,10240,5.628108978271484
Handover,10,10240,69.98372077941895
Hint,1,10240,5.99217414855957
Handover,10,10240,77.05903053283691
Hint,1,10240,5.705118179321289
Handover,10,10240,77.17680931091309
Hint,1,10240,5.259037017822266
Handover,10,10240,75.41656494140625
Hint,1,10240,5.837202072143555
Handover,10,10240,76.79510116577148
Hint,1,10240,5.595684051513672
Handover,10,10240,72.13902473449707
Hint,1,10240,5.773782730102539
Handover,10,10240,77.41904258728027
Hint,1,10240,5.815982818603516
Handover,10,10240,76.61747932434082
Hint,1,10240,5.708217620849609
Handover,10,10240,76.77125930786133
Hint,1,10240,5.678892135620117
Handover,10,10240,69.5028305053711
Hint,1,10240,6.125450134277344
Handover,10,10240,78.42421531677246
Hint,1,10240,5.782604217529297
Handover,10,10240,73.93121719360352
Hint,1,10240,5.888223648071289
Handover,10,10240,75.53410530090332
Hint,1,10240,5.611896514892578
Handover,10,10240,75.76251029968262
Hint,1,10240,6.047487258911133
Handover,10,10240,74.16725158691406
Hint,1,10240,5.6781768798828125
Handover,10,10240,75.44088363647461
Hint,1,10240,5.678892135620117
Handover,10,10240,74.88632202148438
Hint,1,10240,5.617380142211914
Handover,10,10240,71.87628746032715
Hint,1,10240,5.839109420776367
Handover,10,10240,72.42369651794434
Hint,1,10240,5.891323089599609
Handover,10,10240,77.2392749786377
Hint,1,10240,5.597591400146484
Handover,10,10240,76.87807083129883
Hint,1,10240,5.571842193603516
Handover,10,10240,73.13418388366699
Hint,1,10240,5.822896957397461
Handover,10,10240,73.87804985046387
Hint,1,10240,7.430315017700195
Handover,10,10240,77.83293724060059
Hint,1,10240,5.843162536621094
Handover,10,10240,73.39906692504883
Hint,1,10240,5.854606628417969
Handover,10,10240,70.95837593078613
Hint,1,10240,5.953550338745117
Handover,10,10240,73.29368591308594
Hint,1,10240,5.745887756347656
Handover,10,10240,71.1977481842041
Hint,1,10240,5.957126617431641
Handover,10,10240,78.5071849822998
Hint,1,10240,5.680561065673828
Handover,10,10240,78.83381843566895
Hint,1,10240,5.834817886352539
Handover,10,10240,82.7028751373291
Hint,1,10240,6.110668182373047
Handover,10,10240,70.65081596374512
Hint,1,10240,5.765676498413086
Handover,10,10240,68.6955451965332
Hint,1,10240,5.653142929077148
Handover,10,10240,76.0343074798584
Hint,1,10240,9.023189544677734
Handover,10,10240,73.45461845397949
Hint,1,10240,5.820512771606445
Handover,10,10240,79.99658584594727
Hint,1,10240,5.588531494140625
Handover,10,10240,76.19333267211914
Hint,1,10240,5.8841705322265625
Handover,10,10240,73.09341430664062
Hint,1,10240,5.863189697265625
Handover,10,10240,74.9502182006836
Hint,1,10240,5.574464797973633
Handover,10,10240,71.48408889770508
Hint,1,10240,5.755186080932617
Handover,10,10240,73.97055625915527
Hint,1,10240,5.689144134521484
Handover,10,10240,75.86455345153809
Hint,1,10240,5.777597427368164
Handover,10,10240,71.9156265258789
Hint,1,10240,6.119012832641602
Handover,10,10240,71.96831703186035
Hint,1,10240,5.941629409790039
Handover,10,10240,71.16031646728516
Hint,1,10240,5.716562271118164
Handover,10,10240,74.33557510375977
