Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,614400,40.39478302001953
Hint,1,614400,29.95777130126953
Hint,1,614400,28.227806091308594
Handover,3,614400,45.88747024536133
Hint,1,614400,41.74971580505371
Hint,1,614400,34.75809097290039
Hint,1,614400,33.26988220214844
Hint,1,614400,30.73859214782715
Handover,2,614400,41.0614013671875
Hint,1,614400,35.70151329040527
Hint,1,614400,32.99999237060547
Hint,1,614400,33.693552017211914
Hint,1,614400,29.16240692138672
Handover,2,614400,50.51064491271973
Hint,1,614400,41.500091552734375
Hint,1,614400,29.039621353149414
Hint,1,614400,30.538320541381836
Hint,1,614400,30.93099594116211
Handover,2,614400,54.78692054748535
Hint,1,614400,38.45787048339844
Hint,1,614400,37.27531433105469
Hint,1,614400,37.43314743041992
Hint,1,614400,28.47743034362793
Handover,4,614400,49.77750778198242
Hint,1,614400,37.03188896179199
Hint,1,614400,33.371686935424805
Hint,1,614400,28.28383445739746
Hint,1,614400,28.379201889038086
Handover,2,614400,47.20139503479004
Hint,1,614400,39.27350044250488
Hint,1,614400,35.09044647216797
Hint,1,614400,32.27806091308594
Hint,1,614400,32.23752975463867
Handover,2,614400,53.333282470703125
Hint,1,614400,43.320417404174805
Hint,1,614400,27.698755264282227
Hint,1,614400,28.435230255126953
Hint,1,614400,28.4879207611084
Handover,2,614400,48.56228828430176
Hint,1,614400,38.85602951049805
Hint,1,614400,32.44328498840332
Hint,1,614400,33.21981430053711
Hint,1,614400,32.962799072265625
Handover,2,614400,56.75959587097168
Hint,1,614400,35.33601760864258
Hint,1,614400,33.27536582946777
Hint,1,614400,37.07265853881836
Hint,1,614400,26.923418045043945
Handover,3,614400,44.332265853881836
Hint,1,614400,43.75624656677246
Hint,1,614400,32.50718116760254
Hint,1,614400,31.574010848999023
Handover,3,614400,45.029640197753906
Hint,1,614400,36.51738166809082
Hint,1,614400,33.25200080871582
Hint,1,614400,30.81989288330078
Hint,1,614400,27.269363403320312
Handover,2,614400,48.01368713378906
Hint,1,614400,34.087419509887695
Hint,1,614400,32.8974723815918
Hint,1,614400,26.96704864501953
Hint,1,614400,29.187440872192383
Handover,2,614400,48.966407775878906
Hint,1,614400,37.780046463012695
Hint,1,614400,31.697750091552734
Hint,1,614400,30.69329261779785
Hint,1,614400,24.977684020996094
Handover,2,614400,50.2779483795166
Hint,1,614400,41.60618782043457
Hint,1,614400,37.29963302612305
Hint,1,614400,36.771297454833984
Hint,1,614400,28.862953186035156
Handover,3,614400,45.46761512756348
Hint,1,614400,41.12601280212402
Hint,1,614400,30.676841735839844
Hint,1,614400,31.371116638183594
Hint,1,614400,27.782201766967773
Handover,2,614400,52.99687385559082
Hint,1,614400,42.58298873901367
Hint,1,614400,33.91528129577637
Hint,1,614400,30.780315399169922
Hint,1,614400,32.572269439697266
Handover,2,614400,53.568363189697266
Hint,1,614400,36.47875785827637
Hint,1,614400,36.11445426940918
Hint,1,614400,36.74650192260742
Hint,1,614400,28.87868881225586
Handover,2,614400,48.22087287902832
Hint,1,614400,40.76361656188965
Hint,1,614400,27.526378631591797
Hint,1,614400,28.134822845458984
Hint,1,614400,28.365135192871094
Handover,2,614400,52.62613296508789
Hint,1,614400,34.94715690612793
Hint,1,614400,29.042482376098633
Hint,1,614400,30.31134605407715
Hint,1,614400,29.839515686035156
Handover,2,614400,52.536964416503906
Hint,1,614400,38.89822959899902
Hint,1,614400,35.562753677368164
Hint,1,614400,35.12215614318848
Hint,1,614400,31.59809112548828
Handover,2,614400,51.541805267333984
