Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,4.118442535400391
Hint,1,10240,3.4606456756591797
Hint,1,10240,3.5164356231689453
Hint,1,10240,3.506898880004883
Hint,1,10240,33.77485275268555
Hint,1,10240,30.905723571777344
Hint,1,10240,32.20772743225098
Handover,4,10240,38.42520713806152
Hint,1,10240,3.7300586700439453
Hint,1,10240,3.8046836853027344
Hint,1,10240,3.200531005859375
Hint,1,10240,2.875089645385742
Hint,1,10240,32.91034698486328
Hint,1,10240,26.309728622436523
Hint,1,10240,29.9379825592041
Handover,4,10240,39.3834114074707
