Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,6.050825119018555
Handover,10,10240,72.40819931030273
Hint,1,10240,5.733728408813477
Handover,10,10240,77.07071304321289
Hint,1,10240,6.193637847900391
Handover,10,10240,74.51558113098145
Hint,1,10240,5.94639778137207
Handover,10,10240,72.174072265625
Hint,1,10240,5.741596221923828
Handover,10,10240,77.63171195983887
Hint,1,10240,6.866693496704102
Handover,10,10240,75.41608810424805
Hint,1,10240,6.051063537597656
Handover,10,10240,78.22203636169434
Hint,1,10240,6.066799163818359
Handover,10,10240,72.75080680847168
Hint,1,10240,5.927324295043945
Handover,10,10240,74.65291023254395
Hint,1,10240,5.602836608886719
Handover,10,10240,77.52132415771484
Hint,1,10240,5.734920501708984
Handover,10,10240,77.74615287780762
Hint,1,10240,5.825996398925781
Handover,10,10240,80.00540733337402
Hint,1,10240,5.641698837280273
Handover,10,10240,75.1039981842041
Hint,1,10240,5.66864013671875
Handover,10,10240,71.40111923217773
Hint,1,10240,5.442142486572266
Handover,10,10240,77.24380493164062
Hint,1,10240,5.874395370483398
Handover,10,10240,76.11441612243652
Hint,1,10240,4.801750183105469
Handover,10,10240,74.7065544128418
Hint,1,10240,5.85484504699707
Handover,10,10240,78.66978645324707
Hint,1,10240,5.929470062255859
Handover,10,10240,77.81386375427246
Hint,1,10240,4.3239593505859375
Handover,10,10240,75.86503028869629
