Event_Type,Counter,Response_Time
Normal,1,2.0983219146728516
Normal,2,2.050638198852539
Normal,3,2.0852088928222656
Normal,4,2.036571502685547
Normal,5,2.0508766174316406
Normal,6,2.3026466369628906
Normal,7,2.1920204162597656
Normal,8,2.106904983520508
Normal,1,2.1560192108154297
Normal,2,2.1054744720458984
Normal,3,2.2695064544677734
Normal,4,2.0751953125
Normal,5,2.0575523376464844
Normal,6,2.0737648010253906
Normal,7,2.0444393157958984
Normal,8,2.1314620971679688
Normal,9,2.1462440490722656
Normal,1,2.239227294921875
Normal,2,2.0856857299804688
Normal,3,2.038240432739258
Normal,4,2.096891403198242
Normal,5,2.025604248046875
Normal,6,2.184152603149414
Normal,7,2.1152496337890625
Normal,8,2.086639404296875
Normal,1,2.4340152740478516
Normal,2,2.136707305908203
Normal,3,2.0470619201660156
Normal,4,2.291440963745117
Normal,5,2.1653175354003906
Normal,6,2.0461082458496094
Normal,7,2.184152603149414
Normal,8,2.1495819091796875
Normal,1,2.1016597747802734
Normal,2,2.0766258239746094
Normal,3,2.1271705627441406
Normal,4,2.096891403198242
Normal,5,2.0389556884765625
Normal,6,2.224445343017578
Normal,7,2.2144317626953125
Normal,8,2.137422561645508
Normal,1,2.1750926971435547
Normal,2,2.0525455474853516
Normal,3,2.039670944213867
Normal,4,2.0232200622558594
Normal,5,2.035856246948242
Normal,6,2.0377635955810547
Normal,7,1.970529556274414
Normal,8,2.096891403198242
Normal,9,2.057790756225586
Normal,1,2.082347869873047
Normal,2,2.054929733276367
Normal,3,2.2668838500976562
Normal,4,2.040386199951172
Normal,5,2.1109580993652344
Normal,6,2.0334720611572266
Normal,7,2.034425735473633
Normal,8,2.0542144775390625
Normal,1,2.1800994873046875
Normal,2,2.1028518676757812
Normal,3,5.716800689697266
Normal,4,2.0449161529541016
Normal,5,2.053976058959961
Normal,6,2.031087875366211
Normal,7,2.1772384643554688
Normal,8,2.0406246185302734
Normal,1,2.2177696228027344
Normal,2,2.089262008666992
Normal,3,2.1164417266845703
Normal,4,2.0208358764648438
Normal,5,2.15911865234375
Normal,6,2.1893978118896484
Normal,7,2.0699501037597656
Normal,8,2.0494461059570312
Normal,1,2.101421356201172
Normal,2,2.1376609802246094
Normal,3,2.070188522338867
Normal,4,2.0613670349121094
Normal,5,2.0689964294433594
Normal,6,2.0279884338378906
Normal,7,2.079486846923828
Normal,8,2.0542144775390625
Normal,9,2.104043960571289
Normal,1,2.147674560546875
Normal,2,2.0661354064941406
Normal,3,1.6584396362304688
Normal,4,2.014636993408203
Normal,5,2.078533172607422
Normal,6,2.0885467529296875
Normal,7,1.7819404602050781
Normal,8,2.0465850830078125
Normal,9,2.064943313598633
Normal,1,2.132892608642578
Normal,2,2.1092891693115234
Normal,3,2.0341873168945312
Normal,4,2.0351409912109375
Normal,5,2.028942108154297
Normal,6,1.9690990447998047
Normal,7,2.0482540130615234
Normal,8,2.132892608642578
Normal,1,2.2568702697753906
Normal,2,3.8576126098632812
Normal,3,2.1305084228515625
Normal,4,2.141714096069336
Normal,5,2.1016597747802734
Normal,6,2.0532608032226562
Normal,7,2.0723342895507812
Normal,8,2.0644664764404297
Normal,1,2.0928382873535156
Normal,2,2.078533172607422
Normal,3,1.9712448120117188
Normal,4,2.1820068359375
Normal,5,2.132892608642578
Normal,6,2.073526382446289
Normal,7,2.085447311401367
Normal,8,2.0093917846679688
Normal,1,2.259969711303711
Normal,2,2.115964889526367
Normal,3,2.0515918731689453
Normal,4,2.1462440490722656
Normal,5,2.0575523376464844
Normal,6,2.060413360595703
Normal,7,2.0341873168945312
Normal,8,2.035379409790039
Normal,1,2.2165775299072266
Normal,2,1.9161701202392578
Normal,3,2.081155776977539
Normal,4,2.1762847900390625
Normal,5,2.133607864379883
Normal,6,1.9550323486328125
Normal,7,2.1562576293945312
Normal,8,2.1905899047851562
Normal,1,2.2554397583007812
Normal,2,2.1200180053710938
Normal,3,2.056598663330078
Normal,4,2.0551681518554688
Normal,5,2.044677734375
Normal,6,2.0401477813720703
Normal,7,2.038717269897461
Normal,8,2.1202564239501953
Normal,9,2.289295196533203
Normal,1,2.0720958709716797
Normal,2,2.0771026611328125
Normal,3,2.0499229431152344
Normal,4,2.0258426666259766
Normal,5,2.069711685180664
Normal,6,2.0928382873535156
Normal,7,2.042531967163086
Normal,8,2.080678939819336
Normal,9,2.0303726196289062
Normal,1,2.2461414337158203
Normal,2,2.1533966064453125
Normal,3,2.0482540130615234
Normal,4,2.1698474884033203
Normal,5,2.1054744720458984
Normal,6,2.0341873168945312
Normal,7,2.0303726196289062
Normal,8,2.0351409912109375
Normal,9,2.022981643676758
Normal,1,2.1822452545166016
Normal,2,2.092599868774414
Normal,3,2.105236053466797
Normal,4,2.0759105682373047
Normal,5,2.1262168884277344
Normal,6,2.0470619201660156
Normal,7,2.0465850830078125
Normal,8,2.1407604217529297
