Event_Type,Counter,Response_Time
Normal,1,2.094745635986328
Normal,2,2.070188522338867
Normal,3,2.051115036010742
Normal,4,2.148151397705078
Normal,5,2.0608901977539062
Normal,6,2.089262008666992
Normal,7,2.0508766174316406
Normal,8,2.033710479736328
Normal,9,2.2306442260742188
Hint,10,2.1512508392333984
Hint,11,2.044677734375
Normal,1,1.9762516021728516
Normal,2,2.097606658935547
Normal,3,2.104043960571289
Normal,4,2.053976058959961
Normal,5,2.1605491638183594
Normal,6,2.1352767944335938
Normal,7,2.1224021911621094
Normal,8,2.1071434020996094
Normal,9,2.382040023803711
Hint,10,2.15911865234375
Hint,11,1.9969940185546875
Normal,1,5.665063858032227
Normal,2,2.1276473999023438
Normal,3,2.068758010864258
Normal,4,5.673408508300781
Normal,5,2.147674560546875
Normal,6,2.045869827270508
Normal,7,5.848169326782227
Normal,8,2.1233558654785156
Normal,9,2.0847320556640625
Hint,10,2.0728111267089844
Hint,11,1.972198486328125
Normal,1,2.210378646850586
Normal,2,2.1026134490966797
Normal,3,2.095460891723633
Normal,4,2.1309852600097656
Normal,5,2.1409988403320312
Normal,6,2.061128616333008
Normal,7,2.121448516845703
Normal,8,2.114534378051758
Normal,9,2.0775794982910156
Hint,10,2.386808395385742
Hint,11,2.410411834716797
Normal,1,2.1207332611083984
Normal,2,2.0599365234375
Normal,3,3.8535594940185547
Normal,4,2.0749568939208984
Normal,5,2.0723342895507812
Normal,6,2.064943313598633
Normal,7,2.0830631256103516
Normal,8,2.0983219146728516
Normal,9,2.0902156829833984
Hint,10,2.058744430541992
Hint,11,1.9919872283935547
Normal,1,2.197742462158203
Normal,2,2.0585060119628906
Normal,3,2.0647048950195312
Normal,4,2.001047134399414
Normal,5,2.031087875366211
Normal,6,2.0389556884765625
Normal,7,2.054929733276367
Normal,8,1.9407272338867188
Normal,9,2.1386146545410156
Hint,10,2.171754837036133
Hint,11,1.8267631530761719
Normal,1,2.0797252655029297
Normal,2,2.176046371459961
Normal,3,2.210378646850586
Normal,4,2.105712890625
Normal,5,2.015829086303711
Normal,6,2.0515918731689453
Normal,7,2.0749568939208984
Normal,8,2.027750015258789
Normal,9,2.0771026611328125
Hint,10,4.210710525512695
Hint,11,4.062175750732422
Normal,1,2.127408981323242
Normal,2,2.144336700439453
Normal,3,2.1834373474121094
Normal,4,2.0813941955566406
Normal,5,2.1827220916748047
Normal,6,2.1545886993408203
Normal,7,2.101421356201172
Normal,8,2.0971298217773438
Normal,9,2.1276473999023438
Hint,10,2.1865367889404297
Hint,11,2.0782947540283203
Normal,1,5.839109420776367
Normal,2,4.301548004150391
Normal,3,2.0775794982910156
Normal,4,2.1696090698242188
Normal,5,2.051115036010742
Normal,6,2.052783966064453
Normal,7,2.073526382446289
Normal,8,2.045869827270508
Normal,9,2.0699501037597656
Hint,10,2.0792484283447266
Hint,11,4.175901412963867
Normal,1,2.0897388458251953
Normal,2,2.1240711212158203
Normal,3,2.1109580993652344
Normal,4,2.1207332611083984
Normal,5,2.0627975463867188
Normal,6,2.0978450775146484
Normal,7,2.0759105682373047
Normal,8,2.033233642578125
Normal,9,2.0644664764404297
Hint,10,2.0117759704589844
Hint,11,1.9388198852539062
Normal,1,2.1164417266845703
Normal,2,2.0599365234375
Normal,3,2.050638198852539
Normal,4,2.148866653442383
Normal,5,2.022266387939453
Normal,6,2.069234848022461
Normal,7,2.1042823791503906
Normal,8,2.1500587463378906
Normal,9,1.9817352294921875
Hint,10,2.012968063354492
Hint,11,1.9736289978027344
Normal,1,2.1162033081054688
Normal,2,2.2318363189697266
Normal,3,2.218484878540039
Normal,4,2.140522003173828
Normal,5,1.8353462219238281
Normal,6,2.1080970764160156
Normal,7,2.2208690643310547
Normal,8,2.052783966064453
Normal,9,2.1588802337646484
Hint,10,2.3043155670166016
Hint,11,1.9893646240234375
Normal,1,2.1669864654541016
Normal,2,2.063751220703125
Normal,3,2.0503997802734375
Normal,4,2.0623207092285156
Normal,5,2.0275115966796875
Normal,6,2.046823501586914
Normal,7,2.039670944213867
Normal,8,2.042531967163086
Normal,9,2.0592212677001953
Hint,10,2.161741256713867
Hint,11,2.0182132720947266
Normal,1,2.138376235961914
Normal,2,2.243518829345703
Normal,3,2.2590160369873047
Normal,4,2.0520687103271484
Normal,5,2.18963623046875
Normal,6,2.2134780883789062
Normal,7,2.2017955780029297
Normal,8,2.142190933227539
Hint,9,2.114534378051758
Hint,10,2.033710479736328
Normal,1,2.2993087768554688
Normal,2,2.092123031616211
Normal,3,2.136707305908203
Normal,4,2.110004425048828
Normal,5,2.0325183868408203
Normal,6,2.045154571533203
Normal,7,2.050161361694336
Normal,8,2.047300338745117
Normal,9,2.073526382446289
Hint,10,2.218008041381836
Hint,11,3.4651756286621094
Normal,1,2.090930938720703
Normal,2,2.1715164184570312
Normal,3,2.054452896118164
Normal,4,2.115488052368164
Normal,5,2.1817684173583984
Normal,6,2.026796340942383
Normal,7,2.054929733276367
Normal,8,2.0351409912109375
Normal,9,2.094745635986328
Hint,10,2.199411392211914
Hint,11,1.905202865600586
Normal,1,3.0853748321533203
Normal,2,2.078533172607422
Normal,3,4.278898239135742
Normal,4,2.1004676818847656
Normal,5,2.123594284057617
Normal,6,2.0487308502197266
Normal,7,2.035856246948242
Normal,8,2.1066665649414062
Hint,9,2.161741256713867
Hint,10,4.052400588989258
Normal,1,2.114534378051758
Normal,2,2.0585060119628906
Normal,3,2.190828323364258
Normal,4,2.170085906982422
Normal,5,2.087116241455078
Normal,6,2.172231674194336
Normal,7,2.086162567138672
Normal,8,2.048969268798828
Normal,9,2.132415771484375
Hint,10,2.1414756774902344
Hint,11,3.5088062286376953
Normal,1,2.1560192108154297
Normal,2,2.104043960571289
Normal,3,2.2475719451904297
Normal,4,2.105712890625
Normal,5,1.9009113311767578
Normal,6,2.053499221801758
Normal,7,2.130746841430664
Normal,8,2.068758010864258
Hint,9,1.9900798797607422
Hint,10,1.8928050994873047
Normal,1,2.1877288818359375
Normal,2,2.1238327026367188
Normal,3,2.074718475341797
Normal,4,2.0406246185302734
Normal,5,2.0449161529541016
Normal,6,2.007007598876953
Normal,7,2.1004676818847656
Normal,8,2.046346664428711
Normal,9,2.0241737365722656
Hint,10,2.063274383544922
Hint,11,4.185914993286133
