Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,50.51875114440918
Hint,1,10240,42.201995849609375
Hint,1,10240,41.39590263366699
Handover,8,10240,82.35692977905273
Hint,1,10240,49.00169372558594
Hint,1,10240,43.56575012207031
Hint,1,10240,44.62313652038574
Handover,8,10240,74.6619701385498
Hint,1,10240,47.62768745422363
Hint,1,10240,45.305728912353516
Hint,1,10240,42.694807052612305
Handover,8,10240,71.82788848876953
Hint,1,10240,53.27200889587402
Hint,1,10240,43.70546340942383
Hint,1,10240,42.76537895202637
Handover,8,10240,72.64065742492676
Hint,1,10240,49.242258071899414
Hint,1,10240,43.624162673950195
Hint,1,10240,42.61350631713867
Handover,8,10240,67.12985038757324
Hint,1,10240,49.942731857299805
Hint,1,10240,42.4349308013916
Hint,1,10240,44.313907623291016
Handover,8,10240,72.73411750793457
Hint,1,10240,51.222801208496094
Hint,1,10240,42.829036712646484
Hint,1,10240,42.22893714904785
Handover,8,10240,80.43193817138672
Hint,1,10240,51.027536392211914
Hint,1,10240,45.77755928039551
Hint,1,10240,42.73653030395508
Handover,8,10240,77.87871360778809
Hint,1,10240,48.76351356506348
Hint,1,10240,40.27223587036133
Hint,1,10240,36.348819732666016
Handover,8,10240,69.83518600463867
Hint,1,10240,50.63676834106445
Hint,1,10240,43.94960403442383
Hint,1,10240,43.4415340423584
Handover,8,10240,73.30513000488281
Hint,1,10240,49.36814308166504
Hint,1,10240,42.14739799499512
Hint,1,10240,43.45822334289551
Handover,8,10240,65.78350067138672
Hint,1,10240,50.57239532470703
Hint,1,10240,44.8455810546875
Hint,1,10240,41.91017150878906
Handover,8,10240,76.80606842041016
Hint,1,10240,50.4913330078125
Hint,1,10240,44.14820671081543
Hint,1,10240,45.035600662231445
Handover,8,10240,77.91709899902344
Hint,1,10240,50.1551628112793
Hint,1,10240,42.74702072143555
Hint,1,10240,41.794776916503906
Handover,8,10240,65.06013870239258
Hint,1,10240,47.38807678222656
Hint,1,10240,45.21059989929199
Handover,8,10240,66.24412536621094
Hint,1,10240,46.56791687011719
Hint,1,10240,44.19398307800293
Hint,1,10240,46.3106632232666
Handover,8,10240,66.27631187438965
Hint,1,10240,47.70064353942871
Hint,1,10240,45.37200927734375
Hint,1,10240,41.634321212768555
Handover,8,10240,55.83024024963379
Hint,1,10240,47.811269760131836
Hint,1,10240,43.7161922454834
Hint,1,10240,45.23062705993652
Handover,8,10240,53.78270149230957
