Event_Type,Counter,Response_Time
Normal,1,2.106189727783203
Normal,2,2.1698474884033203
Normal,3,2.110719680786133
Normal,4,2.181529998779297
Normal,5,2.073526382446289
Normal,6,2.054452896118164
Normal,7,2.080678939819336
Normal,8,2.138376235961914
Normal,1,2.1581649780273438
Normal,2,2.061128616333008
Normal,3,2.2368431091308594
Normal,4,2.0294189453125
Normal,5,2.1381378173828125
Normal,6,2.0554065704345703
Normal,7,2.046346664428711
Normal,8,2.107858657836914
Normal,9,2.1088123321533203
Normal,1,5.707025527954102
Normal,2,2.1088123321533203
Normal,3,2.1660327911376953
Normal,4,2.016782760620117
Normal,5,2.0780563354492188
Normal,6,2.0983219146728516
Normal,7,2.217531204223633
Normal,8,2.0835399627685547
Normal,1,2.2530555725097656
Normal,2,2.166748046875
Normal,3,2.197265625
Normal,4,1.7650127410888672
Normal,5,2.107381820678711
Normal,6,2.0771026611328125
Normal,7,2.104520797729492
Normal,8,2.2330284118652344
Hint,9,2.460479736328125
Hint,10,2.4967193603515625
Normal,1,2.2182464599609375
Normal,2,2.2323131561279297
Normal,3,2.1636486053466797
Normal,4,2.1724700927734375
Normal,5,2.173900604248047
Normal,6,5.698919296264648
Normal,7,2.1495819091796875
Normal,8,2.1042823791503906
Normal,9,2.081632614135742
Normal,1,2.183198928833008
Normal,2,2.0685195922851562
Normal,3,2.1719932556152344
Normal,4,2.137899398803711
Normal,5,2.038717269897461
Normal,6,2.13623046875
Normal,7,2.1491050720214844
Normal,8,2.203702926635742
Normal,9,2.053499221801758
Normal,1,2.2182464599609375
Normal,2,2.0928382873535156
Normal,3,2.146482467651367
Normal,4,2.1429061889648438
Normal,5,2.1855831146240234
Normal,6,2.1750926971435547
Normal,7,2.140045166015625
Normal,8,2.192974090576172
Normal,9,2.0341873168945312
Normal,1,2.1800994873046875
Normal,2,2.170562744140625
Normal,3,2.079486846923828
Normal,4,2.1026134490966797
Normal,5,2.0880699157714844
Normal,6,2.084493637084961
Normal,7,2.1054744720458984
Normal,8,2.0859241485595703
Normal,9,2.1209716796875
Normal,1,2.159595489501953
Normal,2,2.2499561309814453
Normal,3,2.0859241485595703
Normal,4,2.1665096282958984
Normal,5,2.1042823791503906
Normal,6,2.1054744720458984
Normal,7,2.0987987518310547
Normal,8,2.171754837036133
Normal,9,2.2554397583007812
Normal,1,2.2902488708496094
Normal,2,2.2535324096679688
Normal,3,2.240896224975586
Normal,4,2.095937728881836
Normal,5,2.076387405395508
Normal,6,2.1314620971679688
Normal,7,2.0227432250976562
Normal,8,2.0792484283447266
Hint,9,1.873016357421875
Hint,10,2.386331558227539
Normal,1,2.2139549255371094
Normal,2,2.0868778228759766
Normal,3,2.140045166015625
Normal,4,2.130270004272461
Normal,5,2.1572113037109375
Normal,6,2.0835399627685547
Normal,7,2.181529998779297
