Event_Type,Counter,Response_Time
Normal,1,2.123594284057617
Normal,2,2.1741390228271484
Normal,3,3.6268234252929688
Normal,4,2.0372867584228516
Normal,5,2.8786659240722656
Normal,6,2.199411392211914
Normal,7,2.0380020141601562
Normal,8,2.0737648010253906
Normal,1,2.089977264404297
Normal,2,2.138376235961914
Normal,3,2.0372867584228516
Normal,4,2.241373062133789
Normal,5,1.6570091247558594
Normal,6,2.103567123413086
Normal,7,2.124786376953125
Normal,8,2.0716190338134766
Normal,9,2.0599365234375
Normal,1,2.1855831146240234
Normal,2,2.0933151245117188
Normal,3,2.118349075317383
Normal,4,2.131938934326172
Normal,5,2.282857894897461
Normal,6,2.130270004272461
Normal,7,2.089977264404297
Normal,8,1.85394287109375
Normal,1,2.139568328857422
Normal,2,2.160310745239258
Normal,3,2.0799636840820312
Normal,4,2.0966529846191406
Normal,5,2.1262168884277344
Normal,6,2.0809173583984375
Normal,7,2.063274383544922
Normal,8,2.197742462158203
Normal,9,2.048492431640625
Normal,1,2.1097660064697266
Normal,2,2.2706985473632812
Normal,3,2.1822452545166016
Normal,4,2.218961715698242
Normal,5,2.1550655364990234
Normal,6,2.116680145263672
Normal,7,2.1431446075439453
Normal,8,2.094268798828125
Normal,1,2.110004425048828
Normal,2,2.096891403198242
Normal,3,2.1398067474365234
Normal,4,2.121448516845703
Normal,5,2.096414566040039
Normal,6,2.110719680786133
Normal,7,2.1619796752929688
Normal,8,2.087116241455078
Normal,9,2.1719932556152344
Normal,1,2.1600723266601562
Normal,2,2.1893978118896484
Normal,3,2.1293163299560547
Normal,4,2.075672149658203
Normal,5,2.1424293518066406
Normal,6,2.08282470703125
Normal,7,2.0182132720947266
Normal,8,2.088785171508789
Normal,9,2.089262008666992
Normal,1,2.2187232971191406
Normal,2,2.161741256713867
Normal,3,2.0897388458251953
Normal,4,2.0999908447265625
Normal,5,2.161741256713867
Normal,6,2.1560192108154297
Normal,7,2.1398067474365234
Normal,8,2.1293163299560547
Hint,9,2.1538734436035156
Hint,10,2.061605453491211
Normal,1,2.2852420806884766
Normal,2,2.101421356201172
Normal,3,2.2132396697998047
Normal,4,2.082347869873047
Normal,5,2.0787715911865234
Normal,6,2.084016799926758
Normal,7,2.1796226501464844
Normal,8,2.171039581298828
Normal,1,2.158641815185547
Normal,2,2.1038055419921875
Normal,3,2.131223678588867
Normal,4,2.0956993103027344
Normal,5,2.126455307006836
Normal,6,2.1638870239257812
Normal,7,2.1381378173828125
Normal,8,2.159595489501953
Normal,9,3.1325817108154297
Normal,1,2.2068023681640625
Normal,2,2.084493637084961
Normal,3,2.2547245025634766
Normal,4,2.137899398803711
Normal,5,2.1276473999023438
Normal,6,2.075672149658203
Normal,7,2.0704269409179688
Normal,8,2.0797252655029297
