Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,7.987022399902344
Hint,1,10240,3.7555694580078125
Hint,1,10240,4.010915756225586
Hint,1,10240,4.1446685791015625
Hint,1,10240,3.933429718017578
Hint,1,10240,3.9365291595458984
Hint,1,10240,3.9167404174804688
Hint,1,10240,3.7636756896972656
Hint,1,10240,70.72877883911133
Handover,2,10240,6.976604461669922
Hint,1,10240,5.492448806762695
Hint,1,10240,4.315614700317383
Hint,1,10240,4.166364669799805
Hint,1,10240,4.297018051147461
Hint,1,10240,3.540515899658203
Hint,1,10240,3.677845001220703
Hint,1,10240,3.7870407104492188
Hint,1,10240,4.037618637084961
Hint,1,10240,70.89400291442871
Handover,2,10240,5.489110946655273
Hint,1,10240,5.962133407592773
Hint,1,10240,4.520416259765625
Hint,1,10240,4.347085952758789
Hint,1,10240,3.9801597595214844
Hint,1,10240,3.8912296295166016
Hint,1,10240,3.7813186645507812
Hint,1,10240,3.772735595703125
Hint,1,10240,3.7813186645507812
Hint,1,10240,70.61314582824707
Handover,2,10240,5.458354949951172
Hint,1,10240,5.743741989135742
Hint,1,10240,4.503488540649414
Hint,1,10240,4.48155403137207
Hint,1,10240,3.710508346557617
Hint,1,10240,3.7136077880859375
Hint,1,10240,5.620479583740234
Hint,1,10240,3.6008358001708984
Hint,1,10240,3.542184829711914
Hint,1,10240,69.71192359924316
Handover,2,10240,4.381656646728516
Hint,1,10240,6.032466888427734
Hint,1,10240,4.388093948364258
Hint,1,10240,4.333019256591797
Hint,1,10240,3.7178993225097656
Hint,1,10240,3.5529136657714844
Hint,1,10240,4.330635070800781
Hint,1,10240,3.6127567291259766
Hint,1,10240,3.7298202514648438
Hint,1,10240,65.74511528015137
Handover,2,10240,3.3140182495117188
Hint,1,10240,5.9051513671875
Hint,1,10240,4.565715789794922
Hint,1,10240,3.8285255432128906
Hint,1,10240,3.6847591400146484
Hint,1,10240,3.6933422088623047
Hint,1,10240,3.7772655487060547
Hint,1,10240,3.478527069091797
Hint,1,10240,3.542184829711914
Hint,1,10240,71.03753089904785
Handover,2,10240,5.244731903076172
Hint,1,10240,5.849361419677734
Hint,1,10240,4.5623779296875
Hint,1,10240,4.561662673950195
Hint,1,10240,4.995107650756836
Hint,1,10240,3.940582275390625
Hint,1,10240,3.815889358520508
Hint,1,10240,3.444671630859375
Hint,1,10240,3.3762454986572266
Hint,1,10240,70.56450843811035
Handover,2,10240,4.532098770141602
Hint,1,10240,5.927801132202148
Hint,1,10240,4.500150680541992
Hint,1,10240,4.543304443359375
Hint,1,10240,3.7369728088378906
Hint,1,10240,3.509044647216797
Hint,1,10240,3.4716129302978516
Hint,1,10240,3.6649703979492188
Hint,1,10240,5.329370498657227
Hint,1,10240,68.84598731994629
Handover,2,10240,5.83195686340332
Hint,1,10240,5.827903747558594
Hint,1,10240,4.493474960327148
Hint,1,10240,4.426479339599609
Hint,1,10240,3.539562225341797
Hint,1,10240,3.6149024963378906
Hint,1,10240,3.6873817443847656
Hint,1,10240,3.790140151977539
Hint,1,10240,3.915548324584961
Hint,1,10240,71.09594345092773
Handover,2,10240,5.964517593383789
Hint,1,10240,5.640506744384766
Hint,1,10240,3.7953853607177734
Hint,1,10240,3.724813461303711
Hint,1,10240,3.7622451782226562
Hint,1,10240,4.084348678588867
Hint,1,10240,3.8955211639404297
Hint,1,10240,4.072666168212891
Hint,1,10240,3.8254261016845703
Hint,1,10240,69.48065757751465
Handover,2,10240,4.863977432250977
Hint,1,10240,5.6514739990234375
Hint,1,10240,4.656076431274414
Hint,1,10240,3.761768341064453
Hint,1,10240,3.7994384765625
Hint,1,10240,3.446340560913086
Hint,1,10240,3.9424896240234375
Hint,1,10240,4.048347473144531
Hint,1,10240,4.806041717529297
Hint,1,10240,68.78924369812012
Handover,2,10240,4.20379638671875
Hint,1,10240,5.681276321411133
Hint,1,10240,4.5528411865234375
Hint,1,10240,4.449129104614258
Hint,1,10240,3.695249557495117
Hint,1,10240,3.8433074951171875
Hint,1,10240,3.7915706634521484
Hint,1,10240,4.036426544189453
Hint,1,10240,4.096269607543945
Hint,1,10240,71.81549072265625
Handover,2,10240,4.876852035522461
Hint,1,10240,7.924556732177734
Hint,1,10240,4.603147506713867
Hint,1,10240,4.093647003173828
Hint,1,10240,3.3769607543945312
Hint,1,10240,3.339529037475586
Hint,1,10240,3.342866897583008
Hint,1,10240,3.7336349487304688
Hint,1,10240,3.4983158111572266
Hint,1,10240,72.04699516296387
Handover,2,10240,4.41741943359375
Hint,1,10240,5.4569244384765625
Hint,1,10240,7.635831832885742
Hint,1,10240,3.1728744506835938
Hint,1,10240,3.153562545776367
Hint,1,10240,3.111124038696289
Hint,1,10240,3.686666488647461
Hint,1,10240,3.400087356567383
Hint,1,10240,3.638029098510742
Hint,1,10240,67.44074821472168
Handover,2,10240,5.186319351196289
Hint,1,10240,6.025791168212891
Hint,1,10240,4.754543304443359
Hint,1,10240,4.427671432495117
Hint,1,10240,3.6513805389404297
Hint,1,10240,3.5049915313720703
Hint,1,10240,3.4804344177246094
Hint,1,10240,3.4601688385009766
Hint,1,10240,3.5247802734375
Hint,1,10240,70.54901123046875
Handover,2,10240,4.304409027099609
Hint,1,10240,5.337715148925781
Hint,1,10240,4.554033279418945
Hint,1,10240,4.009723663330078
Hint,1,10240,3.816366195678711
Hint,1,10240,5.074977874755859
Hint,1,10240,3.3795833587646484
Hint,1,10240,3.3409595489501953
Hint,1,10240,3.5500526428222656
Hint,1,10240,70.88255882263184
Handover,2,10240,5.578517913818359
Hint,1,10240,5.9566497802734375
Hint,1,10240,5.723714828491211
Hint,1,10240,4.599809646606445
Hint,1,10240,4.040241241455078
Hint,1,10240,4.029035568237305
Hint,1,10240,4.186153411865234
Hint,1,10240,3.960132598876953
Hint,1,10240,3.8509368896484375
Hint,1,10240,71.62594795227051
Handover,2,10240,4.513263702392578
Hint,1,10240,7.886648178100586
Hint,1,10240,4.314661026000977
Hint,1,10240,6.022214889526367
Hint,1,10240,3.434896469116211
Hint,1,10240,3.1430721282958984
Hint,1,10240,3.1816959381103516
Hint,1,10240,3.502368927001953
Hint,1,10240,3.553152084350586
Hint,1,10240,70.92165946960449
Handover,2,10240,4.963397979736328
Hint,1,10240,5.8460235595703125
Hint,1,10240,4.417896270751953
Hint,1,10240,4.363298416137695
Hint,1,10240,3.6323070526123047
Hint,1,10240,3.7822723388671875
Hint,1,10240,3.3774375915527344
Hint,1,10240,3.607511520385742
Hint,1,10240,3.7415027618408203
