Event_Type,Counter,Response_Time
Normal,1,27.433395385742188
Normal,2,23.79584312438965
Normal,3,24.543046951293945
Normal,4,23.806333541870117
Normal,5,23.707151412963867
Normal,6,26.32737159729004
Normal,7,23.810625076293945
Normal,8,25.676727294921875
Normal,1,27.611970901489258
Normal,2,24.316072463989258
Normal,3,24.664878845214844
Normal,4,24.375438690185547
Normal,5,24.678468704223633
Normal,6,23.663997650146484
Normal,7,26.51500701904297
Normal,8,23.761510848999023
Normal,1,25.841474533081055
Normal,2,23.787260055541992
Normal,3,25.814294815063477
Normal,4,23.504257202148438
Normal,5,24.997472763061523
Normal,6,26.10182762145996
Normal,7,24.994611740112305
Normal,8,23.705482482910156
Normal,1,27.571439743041992
Normal,2,23.990869522094727
Normal,3,23.801088333129883
Normal,4,27.184009552001953
Normal,5,26.369571685791016
Normal,6,23.511409759521484
Normal,7,23.46491813659668
Normal,8,23.517131805419922
Normal,1,26.265859603881836
Normal,2,26.43108367919922
Normal,3,25.86841583251953
Normal,4,23.645401000976562
Normal,5,23.63276481628418
Normal,6,28.37371826171875
Normal,7,31.0976505279541
Normal,8,24.36995506286621
Normal,1,26.090383529663086
Normal,2,25.52342414855957
Normal,3,24.34539794921875
Normal,4,24.987220764160156
Normal,5,27.19283103942871
Normal,6,23.38123321533203
Normal,7,23.39005470275879
Normal,8,23.47731590270996
Normal,1,29.668569564819336
Normal,2,25.1007080078125
Normal,3,24.922847747802734
Normal,4,23.726224899291992
Normal,5,25.814056396484375
Normal,6,23.732900619506836
Normal,7,23.42534065246582
Normal,8,26.081085205078125
Hint,9,30.64560890197754
Hint,10,35.87961196899414
Normal,1,27.552127838134766
Normal,2,27.347326278686523
Normal,3,27.176856994628906
Normal,4,23.599624633789062
Normal,5,23.299455642700195
Normal,6,23.697853088378906
Normal,7,23.44369888305664
Normal,8,23.65732192993164
Normal,1,25.823593139648438
Normal,2,24.039268493652344
Normal,3,24.90067481994629
Normal,4,25.000572204589844
Normal,5,24.56068992614746
Normal,6,25.00748634338379
Normal,7,23.56243133544922
Normal,8,23.96845817565918
Normal,1,28.784751892089844
Normal,2,29.572248458862305
Normal,3,24.995088577270508
Normal,4,23.89383316040039
Normal,5,23.3762264251709
Normal,6,24.880647659301758
Normal,7,23.89693260192871
Normal,8,24.919509887695312
Normal,9,25.46548843383789
Normal,1,27.36973762512207
Normal,2,23.968219757080078
Normal,3,23.756027221679688
Normal,4,23.729562759399414
Normal,5,24.037599563598633
Normal,6,24.86896514892578
Normal,7,25.08544921875
Normal,8,28.592824935913086
Normal,1,27.045249938964844
Normal,2,25.12645721435547
Normal,3,24.64604377746582
Normal,4,27.359485626220703
Normal,5,25.99024772644043
Normal,6,23.61583709716797
Normal,7,23.831605911254883
Normal,8,24.592876434326172
Normal,1,27.348756790161133
Normal,2,24.342060089111328
Normal,3,23.587703704833984
Normal,4,23.594141006469727
Normal,5,23.561477661132812
Normal,6,26.877641677856445
Normal,7,25.964021682739258
Normal,8,24.730920791625977
Normal,1,27.576208114624023
Normal,2,27.66585350036621
Normal,3,26.48639678955078
Normal,4,25.951385498046875
Normal,5,25.211334228515625
Normal,6,23.458003997802734
Normal,7,23.80657196044922
Normal,8,23.78702163696289
Normal,1,27.76336669921875
Normal,2,27.086734771728516
Normal,3,25.03228187561035
Normal,4,25.08378028869629
Normal,5,24.930953979492188
Normal,6,23.72264862060547
Normal,7,23.44799041748047
Normal,8,24.916887283325195
Normal,1,27.469158172607422
Normal,2,26.4585018157959
Normal,3,24.790287017822266
Normal,4,23.604869842529297
Normal,5,23.12159538269043
Normal,6,24.111032485961914
Normal,7,26.169538497924805
Normal,8,23.87833595275879
Normal,1,27.677536010742188
Normal,2,25.23064613342285
Normal,3,23.759841918945312
Normal,4,25.79212188720703
Normal,5,23.474454879760742
Normal,6,27.095556259155273
Normal,7,27.136564254760742
Normal,8,24.774551391601562
Normal,1,26.66497230529785
Normal,2,24.03545379638672
Normal,3,25.89869499206543
Normal,4,25.51555633544922
Normal,5,25.5587100982666
Normal,6,23.86617660522461
Normal,7,23.49233627319336
Normal,8,23.617267608642578
Normal,1,29.106855392456055
Normal,2,28.934240341186523
Normal,3,24.468660354614258
Normal,4,28.407573699951172
Normal,5,23.25606346130371
Normal,6,23.442983627319336
Normal,7,23.801565170288086
Normal,8,25.155067443847656
Normal,1,26.114702224731445
Normal,2,23.70929718017578
Normal,3,24.7347354888916
Normal,4,24.99222755432129
Normal,5,25.014400482177734
Normal,6,23.57625961303711
Normal,7,23.386240005493164
Normal,8,23.561477661132812
