Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,32768,4.794120788574219
Hint,1,32768,3.3631324768066406
Hint,1,32768,3.2355785369873047
Hint,1,32768,3.1707286834716797
Hint,1,32768,2.906322479248047
Hint,1,32768,2.89154052734375
Hint,1,32768,3.025531768798828
Hint,1,32768,2.866029739379883
Hint,1,32768,2.969026565551758
Hint,1,32768,3.1092166900634766
Hint,1,32768,3.0901432037353516
Hint,1,32768,3.068208694458008
Hint,1,32768,3.0059814453125
Hint,1,32768,3.1337738037109375
Hint,1,32768,3.179311752319336
Hint,1,32768,3.198862075805664
Hint,1,32768,3.2033920288085938
Hint,1,32768,4.710197448730469
Hint,1,32768,3.273487091064453
Hint,1,32768,3.238677978515625
Hint,1,32768,3.208637237548828
Hint,1,32768,3.2196044921875
Hint,1,32768,2.9659271240234375
Hint,1,32768,3.026247024536133
Hint,1,32768,3.0503273010253906
Hint,1,32768,3.1020641326904297
Hint,1,32768,4.756689071655273
Hint,1,32768,2.991199493408203
Hint,1,32768,3.1082630157470703
Hint,1,32768,2.6280879974365234
Handover,1,32768,2.5396347045898438
Hint,1,32768,4.5623779296875
Hint,1,32768,3.432035446166992
Hint,1,32768,3.458738327026367
Hint,1,32768,3.256559371948242
Hint,1,32768,2.860546112060547
Hint,1,32768,2.880573272705078
Hint,1,32768,2.790212631225586
Hint,1,32768,2.8607845306396484
Hint,1,32768,2.937793731689453
Hint,1,32768,3.0379295349121094
Hint,1,32768,2.9468536376953125
Hint,1,32768,3.069639205932617
Hint,1,32768,2.9654502868652344
Hint,1,32768,3.041505813598633
Hint,1,32768,2.9761791229248047
Hint,1,32768,2.986907958984375
Hint,1,32768,3.004789352416992
Hint,1,32768,3.091096878051758
Hint,1,32768,3.1065940856933594
Hint,1,32768,3.1213760375976562
Hint,1,32768,3.105640411376953
Hint,1,32768,2.9625892639160156
Hint,1,32768,2.9807090759277344
Hint,1,32768,2.840280532836914
Hint,1,32768,4.8274993896484375
Hint,1,32768,3.088712692260742
Hint,1,32768,3.110170364379883
Hint,1,32768,5.321502685546875
Hint,1,32768,3.1614303588867188
Hint,1,32768,3.1087398529052734
Handover,1,32768,2.532482147216797
Hint,1,32768,4.640340805053711
Hint,1,32768,3.866910934448242
Hint,1,32768,3.9987564086914062
Hint,1,32768,3.2358169555664062
Hint,1,32768,2.5415420532226562
Hint,1,32768,2.7303695678710938
Hint,1,32768,2.7577877044677734
Hint,1,32768,2.861499786376953
Hint,1,32768,2.9518604278564453
Hint,1,32768,2.9337406158447266
Hint,1,32768,2.890348434448242
Hint,1,32768,3.383636474609375
Hint,1,32768,3.919363021850586
Hint,1,32768,4.054546356201172
Hint,1,32768,3.302335739135742
Hint,1,32768,4.749059677124023
Hint,1,32768,3.065824508666992
Hint,1,32768,3.093242645263672
Hint,1,32768,2.640962600708008
Hint,1,32768,2.8450489044189453
Hint,1,32768,3.495931625366211
Hint,1,32768,2.7420520782470703
Hint,1,32768,3.580331802368164
Hint,1,32768,2.9594898223876953
Hint,1,32768,2.8390884399414062
Hint,1,32768,2.812623977661133
Hint,1,32768,2.8350353240966797
Hint,1,32768,2.8879642486572266
Hint,1,32768,2.879619598388672
Hint,1,32768,2.7997493743896484
Handover,14,32768,18.881797790527344
Hint,1,32768,4.511117935180664
Hint,1,32768,3.3757686614990234
Hint,1,32768,3.3614635467529297
Hint,1,32768,3.347635269165039
Hint,1,32768,2.777576446533203
Hint,1,32768,2.759695053100586
Hint,1,32768,2.7916431427001953
Hint,1,32768,2.730131149291992
Hint,1,32768,3.0367374420166016
Hint,1,32768,2.9649734497070312
Hint,1,32768,2.949953079223633
Hint,1,32768,3.004789352416992
Hint,1,32768,2.8705596923828125
Hint,1,32768,3.0956268310546875
Hint,1,32768,3.021717071533203
Hint,1,32768,2.963542938232422
Hint,1,32768,3.056764602661133
Hint,1,32768,3.003835678100586
Hint,1,32768,2.9900074005126953
Hint,1,32768,2.9647350311279297
Hint,1,32768,2.9010772705078125
Hint,1,32768,2.8443336486816406
Hint,1,32768,3.0078887939453125
Hint,1,32768,3.0007362365722656
Hint,1,32768,3.1147003173828125
Hint,1,32768,3.142118453979492
Hint,1,32768,4.765510559082031
Hint,1,32768,2.771139144897461
Hint,1,32768,2.8383731842041016
Hint,1,32768,2.711772918701172
Hint,1,32768,2.6292800903320312
Handover,0,32768,0.018358230590820312
Hint,1,32768,4.271268844604492
Hint,1,32768,2.8994083404541016
Hint,1,32768,6.010293960571289
Hint,1,32768,2.0761489868164062
Hint,1,32768,2.166748046875
Hint,1,32768,2.2199153900146484
Hint,1,32768,2.1903514862060547
Hint,1,32768,2.2482872009277344
Hint,1,32768,2.550363540649414
Hint,1,32768,2.5959014892578125
Hint,1,32768,2.4862289428710938
Hint,1,32768,2.552032470703125
Hint,1,32768,2.8247833251953125
Hint,1,32768,2.676248550415039
Hint,1,32768,2.827167510986328
Hint,1,32768,3.0188560485839844
Hint,1,32768,3.064393997192383
