Event_Type,Counter,Response_Time
Normal,1,24.704694747924805
Normal,2,26.66473388671875
Normal,3,22.716283798217773
Normal,4,22.216796875
Normal,5,22.418975830078125
Normal,6,22.255897521972656
Normal,7,22.08685874938965
Normal,8,23.04387092590332
Normal,9,22.070646286010742
Normal,1,23.629188537597656
Normal,2,21.78192138671875
Normal,3,21.392822265625
Normal,4,25.44116973876953
Normal,5,22.92943000793457
Normal,6,22.571325302124023
Normal,7,22.57561683654785
Normal,8,22.808551788330078
Normal,9,23.251771926879883
Normal,1,22.461891174316406
Normal,2,22.679805755615234
Normal,3,22.578716278076172
Normal,4,22.133350372314453
Normal,5,21.460533142089844
Normal,6,27.929306030273438
Normal,7,25.552034378051758
Normal,8,22.463321685791016
Hint,9,35.70389747619629
Hint,10,34.91663932800293
Normal,1,21.717071533203125
Normal,2,26.442766189575195
Normal,3,25.487661361694336
Normal,4,22.432804107666016
Normal,5,22.080183029174805
Normal,6,22.693157196044922
Normal,7,21.901369094848633
Normal,8,22.766590118408203
Normal,9,22.280216217041016
Normal,1,22.42136001586914
Normal,2,22.526025772094727
Normal,3,22.691726684570312
Normal,4,24.536609649658203
Normal,5,25.385141372680664
Normal,6,22.39370346069336
Normal,7,23.005962371826172
Normal,8,22.662639617919922
Normal,1,18.09382438659668
Normal,2,22.211313247680664
Normal,3,22.566556930541992
Normal,4,22.496700286865234
Normal,5,22.478818893432617
Normal,6,21.25096321105957
Normal,7,25.79641342163086
Normal,8,23.178815841674805
Normal,9,22.851943969726562
Normal,1,21.929025650024414
Normal,2,23.10323715209961
Normal,3,27.527809143066406
Normal,4,26.032447814941406
Normal,5,23.174524307250977
Normal,6,21.936655044555664
Normal,7,22.210359573364258
Normal,8,22.193431854248047
Normal,1,23.029565811157227
Normal,2,27.196884155273438
Normal,3,26.785612106323242
Normal,4,26.243209838867188
Normal,5,22.07636833190918
Normal,6,22.171497344970703
Normal,7,22.188663482666016
Normal,8,21.75617218017578
Normal,1,22.141695022583008
Normal,2,24.858474731445312
Normal,3,26.479482650756836
Normal,4,22.81355857849121
Normal,5,22.422313690185547
Normal,6,22.258281707763672
Normal,7,22.742509841918945
Normal,8,23.057222366333008
Normal,9,21.032333374023438
Normal,1,22.423982620239258
Normal,2,23.01955223083496
Normal,3,25.62236785888672
Normal,4,25.518178939819336
Normal,5,23.632526397705078
Normal,6,21.950960159301758
Normal,7,22.64571189880371
Normal,8,22.950172424316406
Normal,1,22.166013717651367
Normal,2,22.016525268554688
Normal,3,22.542238235473633
Normal,4,22.472858428955078
Normal,5,21.95143699645996
Normal,6,29.254913330078125
Normal,7,25.26068687438965
Normal,8,22.502422332763672
Hint,9,31.953811645507812
Hint,10,32.73510932922363
Normal,1,22.979259490966797
Normal,2,22.690534591674805
Normal,3,23.67997169494629
Normal,4,26.71194076538086
Normal,5,24.896860122680664
Normal,6,18.8140869140625
Normal,7,22.065162658691406
Normal,8,22.22895622253418
Hint,9,32.7761173248291
Hint,10,35.36558151245117
Normal,1,22.13120460510254
Normal,2,29.26945686340332
Normal,3,25.368452072143555
Normal,4,22.63808250427246
Normal,5,23.667573928833008
Normal,6,22.350072860717773
Normal,7,22.199153900146484
Normal,8,22.95398712158203
Normal,1,25.393009185791016
Normal,2,25.514602661132812
Normal,3,22.979259490966797
Normal,4,22.56011962890625
Normal,5,22.83620834350586
Normal,6,22.435665130615234
Normal,7,23.607492446899414
Normal,8,22.89295196533203
Normal,9,26.512861251831055
Normal,1,22.349119186401367
Normal,2,21.889925003051758
Normal,3,25.710344314575195
Normal,4,25.807619094848633
Normal,5,22.467374801635742
Normal,6,22.190570831298828
Normal,7,22.023677825927734
Normal,8,22.62258529663086
Hint,9,32.20868110656738
Hint,10,33.18381309509277
Normal,1,22.722482681274414
Normal,2,21.808385848999023
Normal,3,22.61185646057129
Normal,4,22.042274475097656
Normal,5,22.600412368774414
Normal,6,21.9876766204834
Normal,7,24.64437484741211
Normal,8,26.27396583557129
Normal,1,22.075414657592773
Normal,2,21.905183792114258
Normal,3,21.81529998779297
Normal,4,23.50306510925293
Normal,5,21.990537643432617
Normal,6,21.641254425048828
Normal,7,25.239944458007812
Normal,8,25.56157112121582
Normal,1,21.269798278808594
Normal,2,27.524948120117188
Normal,3,25.8634090423584
Normal,4,23.08821678161621
Normal,5,22.177934646606445
Normal,6,22.5522518157959
Normal,7,22.485017776489258
Normal,8,24.277925491333008
Normal,9,26.738405227661133
Normal,1,22.530555725097656
Normal,2,22.49884605407715
Normal,3,22.62711524963379
Normal,4,23.663997650146484
Normal,5,23.49400520324707
Normal,6,24.752140045166016
Normal,7,26.149988174438477
Normal,8,22.342205047607422
Normal,1,26.431560516357422
Normal,2,25.84075927734375
Normal,3,26.810169219970703
Normal,4,23.27418327331543
Normal,5,22.660493850708008
Normal,6,22.687911987304688
Normal,7,23.564577102661133
Normal,8,23.80847930908203
