Event_Type,Counter,Response_Time
Normal,1,2.0651817321777344
Normal,2,2.1185874938964844
Normal,3,2.066373825073242
Normal,4,2.169370651245117
Normal,5,2.056598663330078
Normal,6,2.016305923461914
Normal,7,2.0716190338134766
Normal,8,2.2389888763427734
Normal,9,2.0782947540283203
Normal,1,2.114534378051758
Normal,2,2.054929733276367
Normal,3,2.184152603149414
Normal,4,2.1333694458007812
Normal,5,2.0525455474853516
Normal,6,2.0580291748046875
Normal,7,2.059459686279297
Normal,8,2.112865447998047
Normal,1,2.0799636840820312
Normal,2,2.09808349609375
Normal,3,2.066373825073242
Normal,4,2.072572708129883
Normal,5,2.1538734436035156
Normal,6,2.0346641540527344
Normal,7,2.0546913146972656
Normal,8,2.051115036010742
Hint,9,2.1085739135742188
Hint,10,2.0020008087158203
Normal,1,2.132892608642578
Normal,2,2.0699501037597656
Normal,3,2.125263214111328
Normal,4,1.8787384033203125
Normal,5,2.101898193359375
Normal,6,2.0499229431152344
Normal,7,2.0825862884521484
Normal,8,2.1741390228271484
Hint,9,2.1653175354003906
Hint,10,2.137422561645508
Normal,1,2.089262008666992
Normal,2,2.0563602447509766
Normal,3,1.9900798797607422
Normal,4,2.138853073120117
Normal,5,2.1123886108398438
Normal,6,2.057790756225586
Normal,7,2.177000045776367
Normal,8,2.1419525146484375
Normal,9,2.108335494995117
Normal,1,2.1610260009765625
Normal,2,2.084970474243164
Normal,3,2.035379409790039
Normal,4,2.076864242553711
Normal,5,2.01416015625
Normal,6,2.1677017211914062
Normal,7,2.1293163299560547
Normal,8,2.0411014556884766
Normal,1,2.0813941955566406
Normal,2,2.055644989013672
Normal,3,2.0570755004882812
Normal,4,2.031564712524414
Normal,5,2.048492431640625
Normal,6,2.0351409912109375
Normal,7,2.0956993103027344
Normal,8,2.115488052368164
Normal,1,2.0563602447509766
Normal,2,2.072572708129883
Normal,3,2.055644989013672
Normal,4,2.1114349365234375
Normal,5,2.0782947540283203
Normal,6,2.025604248046875
