Event_Type,Counter,Response_Time
Normal,1,2.1381378173828125
Normal,2,2.059459686279297
Normal,3,2.09808349609375
Normal,4,2.1712779998779297
Normal,5,2.0673274993896484
Normal,6,2.115964889526367
Normal,7,2.1102428436279297
Normal,8,2.0275115966796875
Normal,9,2.0580291748046875
Hint,10,2.3953914642333984
Hint,11,2.175569534301758
Normal,1,2.1860599517822266
Normal,2,2.171754837036133
Normal,3,2.087116241455078
Normal,4,2.0933151245117188
Normal,5,2.0787715911865234
Normal,6,2.061605453491211
Normal,7,2.0303726196289062
Normal,8,2.0897388458251953
Normal,9,2.080202102661133
Hint,10,2.080202102661133
Hint,11,1.9423961639404297
Normal,1,2.1376609802246094
Normal,2,2.1162033081054688
Normal,3,2.1064281463623047
Normal,4,2.0966529846191406
Normal,5,2.1152496337890625
Normal,6,2.094268798828125
Normal,7,2.0449161529541016
Normal,8,2.095460891723633
Hint,9,2.194643020629883
Hint,10,2.352476119995117
Normal,1,2.113819122314453
Normal,2,2.1915435791015625
Normal,3,2.1064281463623047
Normal,4,2.0859241485595703
Normal,5,2.0902156829833984
Normal,6,2.2072792053222656
Normal,7,2.0966529846191406
Normal,8,2.103567123413086
Hint,9,2.1712779998779297
Hint,10,2.058267593383789
Normal,1,2.122640609741211
Normal,2,2.0875930786132812
Normal,3,2.1402835845947266
Normal,4,2.1059513092041016
Normal,5,2.079486846923828
Normal,6,2.0461082458496094
Normal,7,2.0780563354492188
Normal,8,2.1126270294189453
Normal,9,2.249002456665039
Hint,10,2.3393630981445312
Hint,11,2.2780895233154297
Normal,1,2.1295547485351562
Normal,2,2.1479129791259766
Normal,3,2.158641815185547
Normal,4,2.1805763244628906
Normal,5,2.0914077758789062
Normal,6,2.033710479736328
Normal,7,2.0945072174072266
Normal,8,2.2268295288085938
Normal,9,2.0513534545898438
Hint,10,2.0792484283447266
Hint,11,2.115488052368164
Normal,1,2.2089481353759766
Normal,2,2.28118896484375
Normal,3,2.2232532501220703
Normal,4,2.1250247955322266
Normal,5,2.0868778228759766
Normal,6,2.1212100982666016
Normal,7,2.1338462829589844
Normal,8,2.105712890625
Normal,9,2.1512508392333984
Hint,10,2.262592315673828
Hint,11,2.378702163696289
Normal,1,2.079010009765625
Normal,2,2.1991729736328125
Normal,3,2.2499561309814453
Normal,4,1.9831657409667969
Normal,5,2.1126270294189453
Normal,6,2.039670944213867
Normal,7,2.0911693572998047
Normal,8,2.0656585693359375
Hint,9,2.0399093627929688
Hint,10,1.870870590209961
Normal,1,2.1059513092041016
Normal,2,2.0627975463867188
Normal,3,2.057313919067383
Normal,4,2.058744430541992
Normal,5,2.044677734375
Normal,6,2.0368099212646484
Normal,7,2.0368099212646484
Normal,8,2.1638870239257812
Hint,9,1.9960403442382812
Hint,10,1.875162124633789
Normal,1,2.131223678588867
Normal,2,2.1233558654785156
Normal,3,2.114534378051758
Normal,4,2.171039581298828
Normal,5,2.0661354064941406
Normal,6,2.034902572631836
Normal,7,2.1827220916748047
Normal,8,2.043008804321289
Normal,9,2.029895782470703
Hint,10,2.220630645751953
Hint,11,2.3488998413085938
Normal,1,2.112865447998047
Normal,2,2.1605491638183594
Normal,3,2.1135807037353516
Normal,4,2.0728111267089844
Normal,5,2.073049545288086
Normal,6,2.1381378173828125
Normal,7,2.077817916870117
Normal,8,2.132892608642578
Hint,9,2.345561981201172
Hint,10,2.3708343505859375
Normal,1,2.1381378173828125
Normal,2,2.0699501037597656
Normal,3,2.180337905883789
Normal,4,2.1996498107910156
Normal,5,2.163410186767578
Normal,6,2.1028518676757812
