Event_Type,Counter,Response_Time
Normal,1,2.081632614135742
Normal,2,2.066373825073242
Normal,3,2.020120620727539
Normal,4,2.037525177001953
Normal,5,2.0890235900878906
Normal,6,2.2695064544677734
Normal,7,2.2993087768554688
Normal,8,2.1924972534179688
Normal,9,2.055644989013672
Normal,1,2.1736621856689453
Normal,2,2.0668506622314453
Normal,3,2.6040077209472656
Normal,4,2.051830291748047
Normal,5,2.125978469848633
Normal,6,2.4144649505615234
Normal,7,2.341747283935547
Normal,8,2.1474361419677734
Hint,9,2.478361129760742
Hint,10,2.2232532501220703
Normal,1,2.080678939819336
Normal,2,2.063274383544922
Normal,3,2.052783966064453
Normal,4,2.1152496337890625
Normal,5,2.1877288818359375
Normal,6,2.126455307006836
Normal,7,2.172708511352539
Normal,8,2.0513534545898438
Hint,9,2.228260040283203
Hint,10,2.2993087768554688
Normal,1,2.151012420654297
Normal,2,2.0890235900878906
Normal,3,2.058267593383789
Normal,4,2.065420150756836
Normal,5,2.0368099212646484
Normal,6,2.123594284057617
Normal,7,2.066373825073242
Normal,8,2.094745635986328
Normal,1,2.1147727966308594
Normal,2,2.120494842529297
Normal,3,5.663156509399414
Normal,4,2.066373825073242
Normal,5,2.074718475341797
Normal,6,2.055644989013672
Normal,7,2.068042755126953
Normal,8,2.058744430541992
Normal,1,2.184152603149414
Normal,2,2.0742416381835938
Normal,3,2.0759105682373047
Normal,4,2.103567123413086
Normal,5,2.122640609741211
Normal,6,2.0751953125
Normal,7,2.096891403198242
Normal,8,2.078533172607422
Normal,9,2.1479129791259766
Normal,1,2.1164417266845703
Normal,2,2.1750926971435547
Normal,3,2.0720958709716797
Normal,4,2.087116241455078
Normal,5,2.122640609741211
Normal,6,2.1326541900634766
Normal,7,2.0864009857177734
Normal,8,2.2068023681640625
Normal,9,2.0720958709716797
Normal,1,2.064228057861328
Normal,2,2.097606658935547
Normal,3,2.049684524536133
Normal,4,3.1588077545166016
Normal,5,2.0227432250976562
Normal,6,2.035379409790039
Normal,7,2.0253658294677734
Normal,8,2.0444393157958984
Normal,9,2.0542144775390625
Normal,1,2.119779586791992
Normal,2,2.179861068725586
Normal,3,2.0706653594970703
Normal,4,2.0058155059814453
Normal,5,2.0232200622558594
Normal,6,2.2118091583251953
Normal,7,2.0346641540527344
Normal,8,2.0761489868164062
Normal,9,2.122163772583008
Normal,1,2.114534378051758
Normal,2,2.083301544189453
Normal,3,3.502368927001953
Normal,4,2.059459686279297
Normal,5,2.0275115966796875
Normal,6,2.101421356201172
Normal,7,2.079010009765625
Normal,8,2.0780563354492188
Normal,9,2.017498016357422
Normal,1,2.2852420806884766
Normal,2,2.066373825073242
Normal,3,2.245664596557617
Normal,4,2.134561538696289
Normal,5,2.0046234130859375
Normal,6,1.8949508666992188
Normal,7,2.0630359649658203
Normal,8,2.2363662719726562
Normal,9,2.079486846923828
Normal,1,2.1009445190429688
Normal,2,2.068042755126953
Normal,3,2.165079116821289
Normal,4,2.1026134490966797
Normal,5,2.0706653594970703
Normal,6,2.0759105682373047
Normal,7,2.061605453491211
Normal,8,2.0737648010253906
Normal,9,2.054452896118164
Normal,1,2.1326541900634766
Normal,2,2.0818710327148438
Normal,3,2.0804405212402344
Normal,4,2.072572708129883
Normal,5,2.0589828491210938
Normal,6,3.740549087524414
Normal,7,2.140045166015625
Normal,8,2.060413360595703
Normal,1,2.0983219146728516
Normal,2,2.0787715911865234
Normal,3,2.06756591796875
Normal,4,2.0766258239746094
Normal,5,2.3736953735351562
Normal,6,2.097606658935547
Normal,7,2.20489501953125
Normal,8,2.151012420654297
Hint,9,2.140045166015625
Hint,10,2.0155906677246094
Normal,1,2.196788787841797
Normal,2,2.1169185638427734
Normal,3,2.0678043365478516
Normal,4,2.1080970764160156
Normal,5,2.072572708129883
Normal,6,2.1245479583740234
Normal,7,2.095460891723633
Normal,8,2.052783966064453
Normal,9,2.1500587463378906
Normal,1,2.0787715911865234
Normal,2,2.029895782470703
Normal,3,2.1011829376220703
Normal,4,2.034425735473633
Normal,5,2.006053924560547
Normal,6,2.0799636840820312
Normal,7,2.3720264434814453
Normal,8,2.3908615112304688
Normal,1,2.125263214111328
Normal,2,2.0618438720703125
Normal,3,2.08282470703125
Normal,4,2.08282470703125
Normal,5,2.1474361419677734
Normal,6,2.0754337310791016
Normal,7,2.125263214111328
Normal,8,2.035379409790039
Normal,1,2.109050750732422
Normal,2,2.1049976348876953
Normal,3,2.042055130004883
Normal,4,2.0961761474609375
Normal,5,2.0384788513183594
Normal,6,2.0194053649902344
Normal,7,2.1016597747802734
Normal,8,1.9919872283935547
Normal,1,2.12860107421875
Normal,2,2.0847320556640625
Normal,3,1.9905567169189453
Normal,4,2.0673274993896484
Normal,5,2.1829605102539062
Normal,6,2.0799636840820312
Normal,7,2.067089080810547
Normal,8,2.0895004272460938
Normal,1,2.0651817321777344
Normal,2,2.042531967163086
Normal,3,2.118825912475586
Normal,4,2.0432472229003906
Normal,5,2.0911693572998047
Normal,6,2.0515918731689453
Normal,7,2.067089080810547
Normal,8,2.0406246185302734
Normal,9,2.0563602447509766
