Event_Type,Counter,Response_Time
Normal,1,2.1409988403320312
Normal,2,2.0477771759033203
Normal,3,2.0384788513183594
Normal,4,2.0368099212646484
Normal,5,2.149820327758789
Normal,6,2.065896987915039
Normal,7,2.0613670349121094
Normal,8,2.2144317626953125
Normal,9,2.0563602447509766
Hint,10,2.1257400512695312
Hint,11,2.0751953125
Normal,1,2.1681785583496094
Normal,2,2.0682811737060547
Normal,3,2.0525455474853516
Normal,4,2.012968063354492
Normal,5,2.0503997802734375
Normal,6,2.045869827270508
Normal,7,2.0101070404052734
Normal,8,2.1157264709472656
Hint,9,2.039670944213867
Hint,10,1.9099712371826172
Normal,1,2.1109580993652344
Normal,2,2.0689964294433594
Normal,3,2.1622180938720703
Normal,4,2.131223678588867
Normal,5,2.0606517791748047
Normal,6,2.061128616333008
Normal,7,2.1114349365234375
Normal,8,2.1033287048339844
Normal,9,2.1071434020996094
Hint,10,2.106189727783203
Hint,11,1.9793510437011719
Normal,1,2.0813941955566406
Normal,2,2.0780563354492188
Normal,3,2.208232879638672
Normal,4,2.1622180938720703
Normal,5,2.050161361694336
Normal,6,2.050638198852539
Normal,7,2.062559127807617
Normal,8,2.146482467651367
Normal,9,2.0732879638671875
Hint,10,2.076387405395508
Hint,11,1.9183158874511719
Normal,1,2.1712779998779297
Normal,2,2.122640609741211
Normal,3,2.320528030395508
Normal,4,2.1615028381347656
Normal,5,2.101421356201172
Normal,6,2.0704269409179688
Normal,7,2.080202102661133
Normal,8,2.067089080810547
Hint,9,2.1681785583496094
Hint,10,2.016305923461914
Normal,1,2.0830631256103516
Normal,2,2.0737648010253906
Normal,3,2.0399093627929688
Normal,4,2.0186901092529297
Normal,5,2.0258426666259766
Normal,6,2.1605491638183594
Normal,7,2.020597457885742
Normal,8,2.1305084228515625
Normal,9,2.089977264404297
Hint,10,2.2437572479248047
Hint,11,2.727031707763672
Normal,1,2.1085739135742188
Normal,2,2.100706100463867
Normal,3,2.061605453491211
Normal,4,2.3224353790283203
Normal,5,2.0270347595214844
Normal,6,1.9903182983398438
Normal,7,2.0914077758789062
Normal,8,2.0127296447753906
Hint,9,2.1440982818603516
Hint,10,1.9710063934326172
Normal,1,2.125978469848633
Normal,2,2.065420150756836
Normal,3,2.162456512451172
Normal,4,2.040386199951172
Normal,5,2.1135807037353516
Normal,6,2.0220279693603516
Normal,7,2.0906925201416016
Normal,8,2.0482540130615234
Hint,9,2.1393299102783203
Hint,10,2.0537376403808594
Normal,1,2.089977264404297
Normal,2,2.105712890625
Normal,3,2.112865447998047
Normal,4,2.1147727966308594
Normal,5,2.0389556884765625
Normal,6,2.0525455474853516
Normal,7,2.1588802337646484
Normal,8,2.0432472229003906
Hint,9,2.0465850830078125
Hint,10,1.9564628601074219
Normal,1,2.117156982421875
Normal,2,2.104043960571289
Normal,3,2.138853073120117
