Event_Type,Counter,Response_Time
Normal,1,71.23017311096191
Normal,2,71.45857810974121
Normal,3,72.57747650146484
Normal,4,70.5556869506836
Normal,5,72.53026962280273
Normal,6,70.64962387084961
Normal,7,72.77607917785645
Normal,8,73.82988929748535
Normal,9,67.94023513793945
Normal,10,70.93334197998047
Normal,11,72.21007347106934
Normal,12,70.78933715820312
Normal,13,71.18916511535645
Normal,14,69.7488784790039
Normal,15,71.91801071166992
Normal,16,69.6561336517334
Normal,17,69.72670555114746
Normal,18,67.78168678283691
Normal,19,69.76795196533203
Normal,20,70.01543045043945
Normal,21,70.04761695861816
Normal,22,69.4279670715332
Normal,23,69.26202774047852
Normal,24,69.37289237976074
Normal,25,69.5500373840332
Normal,26,67.33274459838867
Normal,27,70.16158103942871
Normal,28,68.59087944030762
Normal,29,72.89743423461914
Normal,30,69.36049461364746
Normal,31,72.99017906188965
Normal,32,72.7088451385498
Normal,33,69.66543197631836
Normal,34,69.6561336517334
Normal,35,70.50347328186035
Normal,36,71.26283645629883
Normal,37,66.81942939758301
Normal,38,70.80292701721191
Normal,39,69.73958015441895
Normal,40,69.49710845947266
Normal,41,70.28722763061523
Normal,42,69.93722915649414
Normal,43,67.2616958618164
Normal,44,69.67973709106445
Normal,45,69.65017318725586
Normal,46,70.82700729370117
Normal,47,71.37298583984375
Normal,48,71.99907302856445
Normal,49,71.624755859375
Normal,50,72.20149040222168
Normal,51,72.45683670043945
Normal,52,84.03825759887695
Normal,53,80.02853393554688
Normal,54,75.33955574035645
Normal,55,67.80171394348145
Normal,56,68.21179389953613
Normal,57,68.93706321716309
Normal,58,73.5619068145752
Normal,59,69.99683380126953
Normal,60,72.87311553955078
Normal,61,69.72241401672363
Normal,62,70.27912139892578
Normal,63,67.48127937316895
Normal,64,70.35970687866211
Normal,65,79.17380332946777
Normal,66,69.20933723449707
Normal,67,77.73184776306152
Normal,68,69.6876049041748
Normal,69,69.6709156036377
Normal,70,72.41249084472656
Normal,71,72.72911071777344
Normal,72,72.32332229614258
Normal,73,70.55330276489258
Normal,74,67.32368469238281
Normal,75,69.91291046142578
Normal,76,69.25129890441895
Normal,77,72.25155830383301
Normal,78,72.07226753234863
Normal,79,72.07012176513672
Normal,80,71.59614562988281
Normal,81,69.48065757751465
Normal,82,67.39354133605957
Normal,83,67.99507141113281
Normal,84,66.38479232788086
Normal,85,69.4875717163086
Normal,86,71.98786735534668
Normal,87,71.89226150512695
Normal,88,71.45333290100098
Normal,89,69.64707374572754
Normal,90,69.31471824645996
Normal,91,69.30112838745117
Normal,92,67.84820556640625
Normal,93,69.01812553405762
Normal,94,72.14117050170898
Normal,95,71.58732414245605
Normal,96,70.0540542602539
Normal,97,69.2451000213623
Normal,98,70.37091255187988
Normal,99,67.69442558288574
Normal,100,70.24312019348145
Normal,101,66.54524803161621
Normal,102,69.47612762451172
Normal,103,78.7663459777832
Normal,104,72.4942684173584
Normal,105,71.83313369750977
Normal,106,72.63612747192383
Normal,107,84.35559272766113
Hint,108,131.18219375610352
Hint,109,109.92980003356934
Hint,110,108.25586318969727
Hint,111,111.03343963623047
Hint,112,109.78984832763672
Hint,113,98.07443618774414
Hint,114,113.84248733520508
Hint,115,100.65197944641113
Hint,116,109.32135581970215
Hint,117,102.7824878692627
Hint,118,102.66876220703125
Hint,119,106.1258316040039
Hint,120,109.9393367767334
Hint,121,108.43348503112793
Hint,122,102.62298583984375
Hint,123,114.24851417541504
Hint,124,105.18908500671387
Hint,125,105.03673553466797
Hint,126,104.25162315368652
Hint,127,106.51731491088867
Hint,128,106.04977607727051
Hint,129,110.98766326904297
Hint,130,106.69279098510742
Hint,131,105.12876510620117
Hint,132,103.24263572692871
Hint,133,106.08673095703125
Hint,134,109.46893692016602
Hint,135,104.03180122375488
Hint,136,110.72850227355957
Hint,137,104.31146621704102
Hint,138,106.28104209899902
Hint,139,110.01372337341309
Hint,140,105.11398315429688
Hint,141,108.83069038391113
Hint,142,109.2524528503418
Hint,143,105.34548759460449
Hint,144,103.30438613891602
Hint,145,107.50579833984375
Hint,146,101.04870796203613
Hint,147,105.46588897705078
Hint,148,103.35612297058105
Hint,149,104.34675216674805
Hint,150,109.68446731567383
Hint,151,109.81559753417969
Hint,152,107.64408111572266
Hint,153,110.25881767272949
