Event_Type,Counter,Response_Time
Normal,1,26.273012161254883
Normal,2,23.698091506958008
Normal,3,24.71470832824707
Normal,4,26.329994201660156
Normal,5,25.38013458251953
Normal,6,23.90599250793457
Normal,7,23.836374282836914
Normal,8,24.088144302368164
Normal,1,26.27849578857422
Normal,2,23.758411407470703
Normal,3,24.81818199157715
Normal,4,24.242639541625977
Normal,5,24.970054626464844
Normal,6,25.197744369506836
Normal,7,25.269031524658203
Normal,8,23.799896240234375
Normal,1,26.388883590698242
Normal,2,26.520729064941406
Normal,3,26.641845703125
Normal,4,23.73957633972168
Normal,5,26.45730972290039
Normal,6,24.03092384338379
Normal,7,26.13353729248047
Normal,8,23.61464500427246
Normal,1,26.407718658447266
Normal,2,25.989294052124023
Normal,3,25.062084197998047
Normal,4,25.371074676513672
Normal,5,25.053024291992188
Normal,6,23.85091781616211
Normal,7,23.972272872924805
Normal,8,23.506879806518555
Hint,9,26.992321014404297
Hint,10,28.059959411621094
Normal,1,26.91483497619629
Normal,2,24.222612380981445
Normal,3,25.43044090270996
Normal,4,26.35645866394043
Normal,5,24.760723114013672
Normal,6,25.557994842529297
Normal,7,24.158000946044922
Normal,8,24.293184280395508
Normal,1,27.029991149902344
Normal,2,23.825645446777344
Normal,3,25.191783905029297
Normal,4,25.330781936645508
Normal,5,25.445938110351562
Normal,6,23.797273635864258
Normal,7,23.73051643371582
Normal,8,23.845434188842773
Hint,9,26.75175666809082
Hint,10,27.504920959472656
Normal,1,25.763750076293945
Normal,2,25.29740333557129
Normal,3,24.898052215576172
Normal,4,24.953126907348633
Normal,5,24.248838424682617
Normal,6,23.957252502441406
Normal,7,23.829221725463867
Normal,8,23.87070655822754
Normal,1,26.23462677001953
Normal,2,29.63709831237793
Normal,3,25.70176124572754
Normal,4,23.993968963623047
Normal,5,24.146080017089844
Normal,6,25.116920471191406
Normal,7,23.835182189941406
Normal,8,24.15323257446289
Normal,1,27.692556381225586
Normal,2,23.514986038208008
Normal,3,24.483919143676758
Normal,4,25.4666805267334
Normal,5,25.45332908630371
Normal,6,25.031089782714844
Normal,7,23.797988891601562
Normal,8,23.832082748413086
Normal,1,27.619123458862305
Normal,2,23.52595329284668
Normal,3,25.322914123535156
Normal,4,23.57316017150879
Normal,5,24.766206741333008
Normal,6,24.23691749572754
Normal,7,23.57029914855957
Normal,8,24.93429183959961
Normal,1,31.000375747680664
Normal,2,23.790836334228516
Normal,3,26.24344825744629
Normal,4,25.962352752685547
Normal,5,23.540258407592773
Normal,6,23.543119430541992
Normal,7,23.39005470275879
Normal,8,23.919105529785156
Normal,1,27.567148208618164
Normal,2,26.385784149169922
Normal,3,26.177406311035156
Normal,4,23.62370491027832
Normal,5,23.499250411987305
Normal,6,24.902820587158203
Normal,7,24.734973907470703
Normal,8,23.647308349609375
Normal,1,27.064085006713867
Normal,2,24.019479751586914
Normal,3,24.45387840270996
Normal,4,23.575305938720703
Normal,5,23.827552795410156
Normal,6,23.924589157104492
Normal,7,23.540735244750977
Normal,8,25.56753158569336
Normal,1,27.135372161865234
Normal,2,23.69403839111328
Normal,3,23.64182472229004
Normal,4,23.601293563842773
Normal,5,25.931835174560547
Normal,6,27.062177658081055
Normal,7,24.90854263305664
Normal,8,23.69379997253418
Normal,1,27.315616607666016
Normal,2,24.269819259643555
Normal,3,23.575544357299805
Normal,4,23.609161376953125
Normal,5,28.391361236572266
Normal,6,25.462865829467773
Normal,7,25.95996856689453
Normal,8,30.58147430419922
Normal,1,25.8328914642334
Normal,2,23.575782775878906
Normal,3,24.628162384033203
Normal,4,25.159597396850586
Normal,5,24.94215965270996
Normal,6,23.555517196655273
Normal,7,23.564815521240234
Normal,8,23.511886596679688
Normal,1,26.381731033325195
Normal,2,25.049448013305664
Normal,3,24.755239486694336
Normal,4,23.41604232788086
Normal,5,25.821685791015625
Normal,6,26.082992553710938
Normal,7,23.363351821899414
Normal,8,23.562192916870117
Normal,1,31.098365783691406
Normal,2,24.909019470214844
Normal,3,24.470090866088867
Normal,4,23.523807525634766
Normal,5,24.54233169555664
Normal,6,23.624897003173828
Normal,7,23.39005470275879
Normal,8,24.623870849609375
Normal,1,28.017044067382812
Normal,2,25.12502670288086
Normal,3,26.173114776611328
Normal,4,23.46038818359375
Normal,5,23.563385009765625
Normal,6,23.791074752807617
Normal,7,24.76644515991211
Normal,8,24.898767471313477
Normal,1,27.2676944732666
Normal,2,24.19304847717285
Normal,3,26.22079849243164
Normal,4,23.57935905456543
Normal,5,23.420095443725586
Normal,6,23.486852645874023
Normal,7,23.2999324798584
Normal,8,25.10523796081543
