Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,1,10240,2.683401107788086
Hint,1,10240,1.7540454864501953
Hint,1,10240,1.6779899597167969
Hint,1,10240,1.6274452209472656
Hint,1,10240,1.2519359588623047
Hint,1,10240,1.241445541381836
Hint,1,10240,1.1730194091796875
Hint,1,10240,1.222372055053711
Hint,1,10240,18.09215545654297
Hint,1,10240,1.3170242309570312
Hint,1,10240,1.1832714080810547
Handover,0,10240,0.047206878662109375
Hint,1,10240,2.7472972869873047
Hint,1,10240,1.2409687042236328
Hint,1,10240,1.4119148254394531
Hint,1,10240,1.3599395751953125
Hint,1,10240,1.51824951171875
Hint,1,10240,1.3303756713867188
Hint,1,10240,1.2059211730957031
Hint,1,10240,1.2395381927490234
Hint,1,10240,17.992496490478516
Hint,1,10240,1.4183521270751953
Hint,1,10240,1.2540817260742188
Handover,0,10240,0.04601478576660156
Hint,1,10240,2.671957015991211
Hint,1,10240,1.7230510711669922
Hint,1,10240,1.7020702362060547
Hint,1,10240,1.5635490417480469
Hint,1,10240,1.4269351959228516
Hint,1,10240,1.3184547424316406
Hint,1,10240,1.2326240539550781
Hint,1,10240,1.2011528015136719
Hint,1,10240,18.024921417236328
Hint,1,10240,1.3661384582519531
Hint,1,10240,1.4309883117675781
Handover,0,10240,0.04601478576660156
Hint,1,10240,2.729654312133789
Hint,1,10240,1.6989707946777344
Hint,1,10240,1.6131401062011719
Hint,1,10240,1.6379356384277344
Hint,1,10240,1.508951187133789
Hint,1,10240,1.5213489532470703
Hint,1,10240,1.3973712921142578
Hint,1,10240,1.2657642364501953
Hint,1,10240,18.067359924316406
Hint,1,10240,1.6469955444335938
Hint,1,10240,1.4204978942871094
Handover,0,10240,0.04696846008300781
Hint,1,10240,2.4597644805908203
Hint,1,10240,1.3651847839355469
Hint,1,10240,1.22833251953125
Hint,1,10240,1.1484622955322266
Hint,1,10240,1.1827945709228516
Hint,1,10240,1.1990070343017578
Hint,1,10240,1.230478286743164
Hint,1,10240,1.3439655303955078
Hint,1,10240,17.883777618408203
Hint,1,10240,1.2979507446289062
Hint,1,10240,1.3077259063720703
Handover,0,10240,0.04649162292480469
Hint,1,10240,2.584695816040039
Hint,1,10240,1.3616085052490234
Hint,1,10240,1.224517822265625
Hint,1,10240,1.2280941009521484
Hint,1,10240,1.3620853424072266
Hint,1,10240,1.275777816772461
Hint,1,10240,1.4352798461914062
Hint,1,10240,1.3170242309570312
Hint,1,10240,17.986059188842773
Hint,1,10240,1.2903213500976562
Hint,1,10240,1.6775131225585938
Handover,0,10240,0.04673004150390625
Hint,1,10240,2.6388168334960938
Hint,1,10240,1.6677379608154297
Hint,1,10240,1.6436576843261719
Hint,1,10240,1.6632080078125
Hint,1,10240,1.5702247619628906
Hint,1,10240,1.4483928680419922
Hint,1,10240,1.2242794036865234
Hint,1,10240,1.3203620910644531
Hint,1,10240,17.978668212890625
Hint,1,10240,1.514434814453125
Hint,1,10240,1.4204978942871094
Handover,0,10240,0.04601478576660156
Hint,1,10240,2.813577651977539
Hint,1,10240,1.8749237060546875
Hint,1,10240,1.8224716186523438
Hint,1,10240,1.6210079193115234
Hint,1,10240,1.707315444946289
Hint,1,10240,1.6262531280517578
