Event_Type,Counter,Response_Time
Normal,1,2.2459030151367188
Normal,2,2.1300315856933594
Normal,3,2.2122859954833984
Normal,4,2.0885467529296875
Normal,5,2.0380020141601562
Normal,6,2.307415008544922
Normal,7,2.332448959350586
Normal,8,2.296924591064453
Normal,9,2.3162364959716797
Normal,1,1.7228126525878906
Normal,2,2.167940139770508
Normal,3,2.048015594482422
Normal,4,2.098560333251953
Normal,5,2.110004425048828
Normal,6,2.3920536041259766
Normal,7,2.087116241455078
Normal,8,2.0470619201660156
Normal,9,2.032041549682617
Normal,1,2.167940139770508
Normal,2,2.0711421966552734
Normal,3,2.048015594482422
Normal,4,2.056121826171875
Normal,5,2.062559127807617
Normal,6,2.0515918731689453
Normal,7,2.0830631256103516
Normal,8,2.091646194458008
Normal,9,2.124786376953125
Normal,1,2.289295196533203
Normal,2,2.124786376953125
Normal,3,2.0792484283447266
Normal,4,2.0945072174072266
Normal,5,2.0694732666015625
Normal,6,2.096414566040039
Normal,7,2.1009445190429688
Normal,8,2.1152496337890625
Normal,9,2.1300315856933594
Normal,1,2.20489501953125
Normal,2,2.0809173583984375
Normal,3,2.087831497192383
Normal,4,2.111673355102539
Normal,5,2.0530223846435547
Normal,6,2.0818710327148438
Normal,7,4.04047966003418
Normal,8,2.1469593048095703
Normal,9,2.1359920501708984
Normal,1,2.0821094512939453
Normal,2,2.034902572631836
Normal,3,2.1331310272216797
Normal,4,2.1026134490966797
Normal,5,2.025127410888672
Normal,6,2.1085739135742188
Normal,7,2.0904541015625
Normal,8,2.1507740020751953
Normal,1,2.0961761474609375
Normal,2,2.0971298217773438
Normal,3,2.043008804321289
Normal,4,2.053499221801758
Normal,5,2.0782947540283203
Normal,6,2.046346664428711
Normal,7,2.0873546600341797
Normal,8,2.0220279693603516
Normal,9,2.0318031311035156
Normal,1,2.146005630493164
Normal,2,2.058744430541992
Normal,3,2.1185874938964844
Normal,4,2.1169185638427734
Normal,5,2.0613670349121094
Normal,6,2.0363330841064453
Normal,7,2.0787715911865234
Normal,8,2.0711421966552734
Hint,9,2.0685195922851562
Hint,10,1.9009113311767578
Normal,1,2.1407604217529297
Normal,2,2.214670181274414
Normal,3,2.0706653594970703
Normal,4,5.6610107421875
Normal,5,2.0902156829833984
Normal,6,2.2377967834472656
Normal,7,5.832910537719727
Normal,8,2.0394325256347656
Normal,9,2.0630359649658203
Normal,1,2.501964569091797
Normal,2,2.070188522338867
Normal,3,1.9733905792236328
Normal,4,2.0444393157958984
Normal,5,2.0766258239746094
Normal,6,2.027273178100586
Normal,7,2.0301342010498047
Normal,8,2.065420150756836
Hint,9,1.9490718841552734
Hint,10,1.905679702758789
Normal,1,2.256155014038086
Normal,2,2.0461082458496094
Normal,3,2.0360946655273438
Normal,4,2.088785171508789
Normal,5,2.088308334350586
Normal,6,2.0399093627929688
Normal,7,2.0525455474853516
Normal,8,2.0923614501953125
Normal,9,2.0856857299804688
Normal,1,2.259969711303711
Normal,2,2.0661354064941406
Normal,3,2.043485641479492
Normal,4,2.0461082458496094
Normal,5,2.0301342010498047
Normal,6,2.0499229431152344
Normal,7,2.0444393157958984
Normal,8,2.1152496337890625
Normal,9,2.131938934326172
Normal,1,2.2656917572021484
Normal,2,2.0825862884521484
Normal,3,2.0613670349121094
Normal,4,2.104520797729492
Normal,5,2.058267593383789
Normal,6,2.135038375854492
Normal,7,2.080202102661133
Normal,8,2.0737648010253906
Hint,9,2.4542808532714844
Hint,10,2.3605823516845703
Normal,1,2.148866653442383
Normal,2,2.1822452545166016
Normal,3,5.859851837158203
Normal,4,2.99835205078125
Normal,5,2.052783966064453
Normal,6,2.1355152130126953
Normal,7,2.089977264404297
Normal,8,1.9686222076416016
Normal,1,2.129077911376953
Normal,2,2.0945072174072266
Normal,3,2.1028518676757812
Normal,4,2.0122528076171875
Normal,5,2.0356178283691406
Normal,6,2.0673274993896484
Normal,7,2.0270347595214844
Normal,8,2.1207332611083984
Normal,1,2.1948814392089844
Normal,2,2.172231674194336
Normal,3,2.0558834075927734
Normal,4,2.0513534545898438
Normal,5,2.0155906677246094
Normal,6,2.0029544830322266
Normal,7,2.0155906677246094
Normal,8,2.0596981048583984
Normal,1,2.307415008544922
Normal,2,2.1011829376220703
Normal,3,2.0253658294677734
Normal,4,2.1524429321289062
Normal,5,2.0303726196289062
Normal,6,1.9900798797607422
Normal,7,2.0411014556884766
Normal,8,2.084016799926758
Normal,1,2.1979808807373047
Normal,2,2.104520797729492
Normal,3,2.1364688873291016
Normal,4,2.0873546600341797
Normal,5,2.093076705932617
Normal,6,2.147674560546875
Normal,7,2.167224884033203
Normal,8,2.1479129791259766
Normal,9,2.1228790283203125
Normal,1,2.3021697998046875
Normal,2,2.1257400512695312
Normal,3,2.045154571533203
Normal,4,2.0356178283691406
Normal,5,2.1233558654785156
Normal,6,2.0313262939453125
Normal,7,2.0287036895751953
Normal,8,2.1049976348876953
Normal,9,2.0084381103515625
Normal,1,2.2127628326416016
Normal,2,5.640983581542969
Normal,3,2.0356178283691406
Normal,4,2.0160675048828125
Normal,5,4.9381256103515625
Normal,6,2.1004676818847656
Normal,7,2.0656585693359375
Normal,8,2.0198822021484375
