Event_Type,Counter,Response_Time
Normal,1,2.2406578063964844
Normal,2,2.092599868774414
Normal,3,2.151966094970703
Normal,4,2.0813941955566406
Normal,5,2.164602279663086
Normal,6,2.144336700439453
Normal,7,4.14729118347168
Normal,8,2.1440982818603516
Normal,9,2.0987987518310547
Normal,1,2.1092891693115234
Normal,2,2.034425735473633
Normal,3,2.033233642578125
Normal,4,1.9321441650390625
Normal,5,2.118349075317383
Normal,6,2.333402633666992
Normal,7,2.0875930786132812
Normal,8,2.139568328857422
Normal,1,2.1810531616210938
Normal,2,2.1026134490966797
Normal,3,2.051830291748047
Normal,4,2.1860599517822266
Normal,5,2.0623207092285156
Normal,6,2.1026134490966797
Normal,7,2.0084381103515625
Normal,8,2.057313919067383
Normal,1,2.131223678588867
Normal,2,2.2110939025878906
Normal,3,2.168416976928711
Normal,4,2.159595489501953
Normal,5,1.959085464477539
Normal,6,2.0911693572998047
Normal,7,2.1326541900634766
Normal,8,2.0780563354492188
Normal,1,2.262592315673828
Normal,2,2.0911693572998047
Normal,3,2.148151397705078
Normal,4,2.208709716796875
Normal,5,2.073526382446289
Normal,6,2.0940303802490234
Normal,7,2.1212100982666016
Normal,8,2.1049976348876953
Normal,9,2.090930938720703
Normal,1,2.232074737548828
Normal,2,2.0465850830078125
Normal,3,2.0265579223632812
Normal,4,2.0766258239746094
Normal,5,2.051830291748047
Normal,6,2.064943313598633
Normal,7,2.050638198852539
Normal,8,2.045869827270508
Normal,9,2.141237258911133
Normal,1,2.2280216217041016
Normal,2,2.038717269897461
Normal,3,2.0432472229003906
Normal,4,2.0585060119628906
Normal,5,1.9979476928710938
Normal,6,2.051115036010742
Normal,7,2.0208358764648438
Normal,8,2.054452896118164
Normal,9,2.1173954010009766
Normal,1,2.269268035888672
Normal,2,2.088308334350586
Normal,3,2.1572113037109375
Normal,4,2.0864009857177734
Normal,5,2.1314620971679688
Normal,6,2.136707305908203
Normal,7,2.168416976928711
Normal,8,2.1359920501708984
Normal,1,2.2017955780029297
Normal,2,2.0380020141601562
Normal,3,2.069234848022461
Normal,4,2.0513534545898438
Normal,5,2.0966529846191406
Normal,6,2.2420883178710938
Normal,7,2.1293163299560547
Normal,8,2.0830631256103516
Hint,9,2.1734237670898438
Hint,10,5.552768707275391
Normal,1,4.340171813964844
Normal,2,2.0949840545654297
Normal,3,2.1309852600097656
Normal,4,2.0551681518554688
Normal,5,2.1932125091552734
Normal,6,2.0475387573242188
Normal,7,2.0465850830078125
Normal,8,2.097606658935547
Hint,9,2.129077911376953
Hint,10,2.0639896392822266
Normal,1,2.1505355834960938
Normal,2,2.1822452545166016
Normal,3,2.2153854370117188
Normal,4,2.1660327911376953
Normal,5,2.0868778228759766
Normal,6,2.1805763244628906
Normal,7,2.0995140075683594
Normal,8,2.2058486938476562
Normal,9,2.1126270294189453
Normal,1,2.2079944610595703
Normal,2,2.1257400512695312
Normal,3,2.024412155151367
Normal,4,2.1021366119384766
Normal,5,2.0568370819091797
Normal,6,2.0279884338378906
Normal,7,2.091646194458008
Normal,8,2.0461082458496094
Normal,9,2.022981643676758
Normal,1,2.26593017578125
Normal,2,2.101421356201172
Normal,3,2.0875930786132812
Normal,4,2.0291805267333984
Normal,5,2.086639404296875
Normal,6,2.1932125091552734
Normal,7,2.1169185638427734
Normal,8,2.022981643676758
Normal,9,2.0384788513183594
Normal,1,2.18963623046875
Normal,2,2.0575523376464844
Normal,3,2.132415771484375
Normal,4,2.0804405212402344
Normal,5,2.1080970764160156
Normal,6,2.0563602447509766
Normal,7,2.0253658294677734
Normal,8,2.051115036010742
Hint,9,2.0918846130371094
Hint,10,1.9223690032958984
Normal,1,2.1469593048095703
Normal,2,2.0685195922851562
Normal,3,2.056598663330078
Normal,4,2.0914077758789062
Normal,5,2.0346641540527344
Normal,6,2.036571502685547
Normal,7,2.031087875366211
Normal,8,2.190113067626953
Normal,9,2.0554065704345703
Normal,1,2.2077560424804688
Normal,2,2.056121826171875
Normal,3,2.0813941955566406
Normal,4,2.048492431640625
Normal,5,2.1288394927978516
Normal,6,2.1860599517822266
Normal,7,2.170085906982422
Normal,8,2.097606658935547
Normal,9,2.0062923431396484
Normal,1,2.184152603149414
Normal,2,2.0341873168945312
Normal,3,2.0356178283691406
Normal,4,2.039194107055664
Normal,5,1.6336441040039062
Normal,6,2.101421356201172
Normal,7,2.071857452392578
Normal,8,2.0933151245117188
Normal,9,2.043485641479492
Normal,1,2.129793167114258
Normal,2,2.1483898162841797
Normal,3,2.0639896392822266
Normal,4,2.115964889526367
Normal,5,2.0303726196289062
Normal,6,2.0308494567871094
Normal,7,2.0706653594970703
Normal,8,2.0334720611572266
Normal,9,2.0356178283691406
Normal,1,2.176046371459961
Normal,2,2.1131038665771484
Normal,3,2.0813941955566406
Normal,4,2.0346641540527344
Normal,5,2.107858657836914
Normal,6,2.046823501586914
Normal,7,2.088308334350586
Normal,8,2.048015594482422
Normal,9,1.9993782043457031
Normal,1,2.1255016326904297
Normal,2,2.080202102661133
Normal,3,2.015829086303711
Normal,4,2.0322799682617188
Normal,5,2.028942108154297
Normal,6,2.020120620727539
Normal,7,2.0546913146972656
Normal,8,2.173900604248047
Normal,9,2.0895004272460938
