Event_Type,Counter,Response_Time
Normal,1,12.037038803100586
Normal,2,11.512041091918945
Normal,3,11.211872100830078
Normal,4,14.723062515258789
Normal,5,11.470794677734375
Normal,6,10.344266891479492
Normal,7,11.481761932373047
Normal,8,15.911579132080078
Normal,9,11.430501937866211
Normal,1,11.742591857910156
Normal,2,11.58905029296875
Normal,3,11.207818984985352
Normal,4,11.590003967285156
Normal,5,11.773347854614258
Normal,6,11.52181625366211
Normal,7,10.642051696777344
Normal,8,11.626243591308594
Normal,9,11.522531509399414
Normal,1,11.871576309204102
Normal,2,11.696100234985352
Normal,3,10.715961456298828
Normal,4,11.72637939453125
Normal,5,11.506080627441406
Normal,6,11.281728744506836
Normal,7,10.91766357421875
Normal,8,11.469364166259766
Normal,9,11.658191680908203
Normal,1,12.423038482666016
Normal,2,12.073040008544922
Normal,3,15.329599380493164
Normal,4,12.618780136108398
Normal,5,11.909008026123047
Normal,6,11.237621307373047
Normal,7,11.259317398071289
Normal,8,11.020183563232422
Normal,9,11.830329895019531
Normal,1,17.125844955444336
Normal,2,11.206388473510742
Normal,3,11.410713195800781
Normal,4,11.444330215454102
Normal,5,11.438369750976562
Normal,6,10.625362396240234
Normal,7,11.21211051940918
Normal,8,11.392593383789062
Normal,9,11.338233947753906
Normal,1,11.678934097290039
Normal,2,11.608600616455078
Normal,3,11.417627334594727
Normal,4,10.422229766845703
Normal,5,11.775493621826172
Normal,6,11.406421661376953
Normal,7,11.583566665649414
Normal,8,10.467290878295898
Normal,9,11.793375015258789
Normal,1,11.714458465576172
Normal,2,9.57798957824707
Normal,3,11.260509490966797
Normal,4,14.651060104370117
Normal,5,11.393308639526367
Normal,6,11.300802230834961
Normal,7,11.449813842773438
Normal,8,10.816097259521484
Normal,9,11.808156967163086
Normal,1,12.120723724365234
Normal,2,14.926910400390625
Normal,3,11.642932891845703
Normal,4,11.82866096496582
Normal,5,11.918306350708008
Normal,6,11.560440063476562
Normal,7,12.642383575439453
Normal,8,11.804580688476562
Normal,9,11.917591094970703
Normal,1,11.66677474975586
Normal,2,11.48223876953125
Normal,3,11.261940002441406
Normal,4,10.67042350769043
Normal,5,11.293888092041016
Normal,6,11.762857437133789
Normal,7,11.573076248168945
Normal,8,11.113405227661133
Normal,9,11.270761489868164
Normal,1,11.842727661132812
Normal,2,11.43646240234375
Normal,3,14.760732650756836
Normal,4,11.20305061340332
Normal,5,11.53874397277832
Normal,6,11.371612548828125
Normal,7,11.543035507202148
Normal,8,10.90383529663086
Normal,9,11.76762580871582
Normal,1,11.92617416381836
Normal,2,16.58010482788086
Normal,3,11.755943298339844
Normal,4,11.883258819580078
Normal,5,14.855623245239258
Normal,6,11.80577278137207
Normal,7,12.100458145141602
Normal,8,11.286258697509766
Normal,9,10.895252227783203
Normal,1,15.68150520324707
Normal,2,11.728048324584961
Normal,3,11.503934860229492
Normal,4,11.49129867553711
Normal,5,15.80047607421875
Normal,6,11.591672897338867
Normal,7,11.84844970703125
Normal,8,11.577844619750977
Hint,9,14.148473739624023
Hint,10,14.086246490478516
Normal,1,12.04061508178711
Normal,2,11.51275634765625
Normal,3,11.316776275634766
Normal,4,10.765552520751953
Normal,5,11.429786682128906
Normal,6,11.788129806518555
Normal,7,13.006448745727539
Normal,8,10.599374771118164
Normal,9,11.562824249267578
Normal,1,11.051416397094727
Normal,2,11.696338653564453
Normal,3,11.364936828613281
Normal,4,11.439800262451172
Normal,5,11.386632919311523
Normal,6,11.629819869995117
Normal,7,11.587858200073242
Normal,8,11.517524719238281
Normal,9,11.149883270263672
Normal,1,11.90805435180664
Normal,2,11.951684951782227
Normal,3,11.34037971496582
Normal,4,10.790348052978516
Normal,5,11.287927627563477
Normal,6,11.667251586914062
Normal,7,11.406660079956055
Normal,8,11.016607284545898
Normal,9,13.496875762939453
Normal,1,11.88802719116211
Normal,2,14.627933502197266
Normal,3,11.574029922485352
Normal,4,11.534929275512695
Normal,5,11.536836624145508
Normal,6,10.829925537109375
Normal,7,11.750459671020508
Normal,8,11.426448822021484
Normal,9,11.50202751159668
Normal,1,11.754989624023438
Normal,2,11.362552642822266
Normal,3,11.167764663696289
Normal,4,11.522054672241211
Normal,5,11.533975601196289
Normal,6,11.39211654663086
Normal,7,14.94598388671875
Normal,8,11.505365371704102
Normal,9,11.490106582641602
Normal,1,12.099981307983398
Normal,2,11.466503143310547
Normal,3,11.595010757446289
Normal,4,11.323213577270508
Normal,5,11.883974075317383
Normal,6,11.763811111450195
Normal,7,11.308431625366211
Normal,8,14.579296112060547
Hint,9,14.271259307861328
Hint,10,14.306306838989258
Normal,1,21.129131317138672
Normal,2,11.347293853759766
Normal,3,11.500358581542969
Normal,4,11.466741561889648
Normal,5,14.44101333618164
Normal,6,11.386632919311523
Normal,7,11.47150993347168
Normal,8,11.507511138916016
Normal,9,14.40286636352539
Normal,1,15.717029571533203
Normal,2,12.059688568115234
Normal,3,12.082576751708984
Normal,4,11.504173278808594
Normal,5,15.147686004638672
Normal,6,11.386632919311523
Normal,7,11.98267936706543
Normal,8,12.242794036865234
Normal,9,10.506391525268555
