Event_Type,Counter,Response_Time
Normal,1,24.75261688232422
Normal,2,25.440692901611328
Normal,3,22.091150283813477
Normal,4,22.113800048828125
Normal,5,22.337913513183594
Normal,6,22.063016891479492
Normal,7,22.814035415649414
Normal,8,26.59773826599121
Normal,1,22.098064422607422
Normal,2,21.996498107910156
Normal,3,22.15290069580078
Normal,4,23.192405700683594
Normal,5,25.273561477661133
Normal,6,21.64769172668457
Normal,7,22.629261016845703
Normal,8,22.165298461914062
Normal,9,22.614002227783203
Normal,1,22.3388671875
Normal,2,21.91162109375
Normal,3,21.881580352783203
Normal,4,24.34372901916504
Normal,5,25.609493255615234
Normal,6,22.652149200439453
Normal,7,22.29619026184082
Normal,8,22.477388381958008
Normal,9,22.96161651611328
Normal,1,22.47476577758789
Normal,2,22.092580795288086
Normal,3,21.3472843170166
Normal,4,25.323867797851562
Normal,5,25.849342346191406
Normal,6,22.206783294677734
Normal,7,22.07040786743164
Normal,8,22.038698196411133
Normal,1,22.682666778564453
Normal,2,22.185087203979492
Normal,3,24.58667755126953
Normal,4,25.577068328857422
Normal,5,22.1405029296875
Normal,6,22.48358726501465
Normal,7,22.026777267456055
Normal,8,22.521257400512695
Hint,9,30.43389320373535
Hint,10,29.384374618530273
Normal,1,22.15123176574707
Normal,2,22.27783203125
Normal,3,21.94380760192871
Normal,4,23.868322372436523
Normal,5,21.753311157226562
Normal,6,25.002479553222656
Normal,7,22.2165584564209
Normal,8,21.898746490478516
Normal,9,22.0029354095459
Normal,1,22.194385528564453
Normal,2,22.286415100097656
Normal,3,21.272659301757812
Normal,4,24.43718910217285
Normal,5,22.492170333862305
Normal,6,21.73924446105957
Normal,7,22.19843864440918
Normal,8,21.823406219482422
Normal,9,22.523880004882812
Normal,1,26.017189025878906
Normal,2,25.58588981628418
Normal,3,22.884130477905273
Normal,4,22.10521697998047
Normal,5,22.78280258178711
Normal,6,22.11761474609375
Normal,7,22.203683853149414
Normal,8,21.279573440551758
Normal,9,27.117013931274414
Normal,1,29.1287899017334
Normal,2,21.68726921081543
Normal,3,21.950960159301758
Normal,4,22.588014602661133
Normal,5,22.504568099975586
Normal,6,21.106719970703125
Normal,7,20.902395248413086
Normal,8,22.634267807006836
Normal,1,22.93252944946289
Normal,2,27.57120132446289
Normal,3,24.571895599365234
Normal,4,22.35126495361328
Normal,5,21.897554397583008
Normal,6,21.91638946533203
Normal,7,20.78104019165039
Normal,8,21.851539611816406
Normal,1,21.427631378173828
Normal,2,24.021625518798828
Normal,3,22.2165584564209
Normal,4,22.22132682800293
Normal,5,21.908283233642578
Normal,6,22.15409278869629
Normal,7,23.116111755371094
Normal,8,21.986961364746094
Hint,9,33.57982635498047
Hint,10,26.946067810058594
Normal,1,23.148059844970703
Normal,2,22.560834884643555
Normal,3,27.09174156188965
Normal,4,25.069475173950195
Normal,5,22.646427154541016
Normal,6,22.043466567993164
Normal,7,22.22752571105957
Normal,8,22.50814437866211
Normal,9,23.13971519470215
Normal,1,21.926164627075195
Normal,2,25.14815330505371
Normal,3,22.33743667602539
Normal,4,22.22156524658203
Normal,5,22.249698638916016
Normal,6,21.82316780090332
Normal,7,22.227048873901367
Normal,8,21.41094207763672
Normal,9,24.079561233520508
Normal,1,23.00238609313965
Normal,2,22.176504135131836
Normal,3,22.61829376220703
Normal,4,24.806499481201172
Normal,5,25.6497859954834
Normal,6,22.150516510009766
Normal,7,21.80004119873047
Normal,8,22.082090377807617
Normal,1,22.2628116607666
Normal,2,24.46889877319336
Normal,3,24.85942840576172
Normal,4,22.42898941040039
Normal,5,21.96478843688965
Normal,6,22.081375122070312
Normal,7,21.84772491455078
Normal,8,22.11308479309082
Normal,9,21.09050750732422
Normal,1,22.773265838623047
Normal,2,20.797014236450195
Normal,3,24.628400802612305
Normal,4,22.3238468170166
Normal,5,21.732568740844727
Normal,6,21.9876766204834
Normal,7,21.91948890686035
Normal,8,22.476673126220703
Normal,1,22.99022674560547
Normal,2,22.077560424804688
Normal,3,24.820804595947266
Normal,4,25.519132614135742
Normal,5,22.186756134033203
Normal,6,22.217750549316406
Normal,7,22.008895874023438
Normal,8,22.62401580810547
Normal,1,19.17099952697754
Normal,2,21.938562393188477
Normal,3,21.753311157226562
Normal,4,22.494792938232422
Normal,5,22.48859405517578
Normal,6,20.798921585083008
Normal,7,25.619983673095703
Normal,8,26.206016540527344
Normal,9,22.430896759033203
Normal,1,22.222280502319336
Normal,2,21.86298370361328
Normal,3,21.215200424194336
Normal,4,25.02918243408203
Normal,5,26.81279182434082
Normal,6,22.757530212402344
Normal,7,22.3848819732666
Normal,8,22.71580696105957
Hint,9,28.293132781982422
Hint,10,31.70013427734375
Normal,1,20.694971084594727
Normal,2,24.75452423095703
Normal,3,22.783279418945312
Normal,4,22.53890037536621
Normal,5,22.43781089782715
Normal,6,22.30358123779297
Normal,7,22.399425506591797
Normal,8,21.622180938720703
Normal,9,24.506330490112305
